0.510839002	New Point
1.811156462	New Point
3.482993197	New Point
5.992925170	1.1
7.749659863	New Point
9.026689342	3.2
10.675283446	17.1
12.038299319	3.3
13.476349206	3.4
14.817278911	1.3
16.227165532	1.4
17.722743764	2.1
19.309863945	2.2
20.940090702	2.3
22.608820861	2.4
24.010453514	3.1
25.751473922	3.2
27.773106575	3.3
29.273197278	3.4
30.810770975	4.1
32.391020408	4.2
33.572630385	4.3
35.038843537	4.4
36.997551020	5.1
38.874580498	5.2
40.787052154	1.2
42.208934240	17.3
43.742675736	7.3
45.083401360	7.4
46.613333333	8.1
47.995079365	8.2
49.341383219	8.3
50.818253968	8.4
52.296235827	9.1
53.646258503	9.2
55.497573696	1.3
56.629705215	17.4
58.118208616	1.4
59.547823129	2.1
61.208095238	2.2
64.112539682	21.3
67.371859410	20.3
73.021972789	18.2
76.278390022	21.1
78.919591836	21.4
81.920000000	New Point
84.618662131	1.3
87.415782312	13.3
90.279183673	New Point
93.886303854	14.3
96.668820861	14.4
99.640181405	15.2
102.645124716	15.4
105.783265306	1.1
108.530068027	New Point
111.316462585	New Point
114.172517006	New Point
117.684149659	2.1
121.347482993	New Point
124.394013605	23.3
128.243809523	New Point
131.900952380	New Point
135.853832199	24.3
138.921519274	24.4
141.931972789	New Point
145.310476190	New Point
148.162585034	26.1
151.318730158	26.2
154.066439909	26.3
157.678435374	26.4
161.529251700	27.1
165.012993197	2.4
169.505668934	New Point
173.914263038	27.4
177.877029478	28.1
180.946712018	28.2
183.971995464	28.3
187.990340136	28.4
191.116326530	29.1
194.953401360	29.2
198.292630385	29.3
202.400770975	29.4
206.802721088	New Point
208.573242630	New Point
210.278208616	30.4
211.640816326	31.1
212.895464852	31.2
214.311950113	31.3
215.818752834	31.4
217.153990929	32.1
218.565578231	32.2
220.469750566	32.3
221.982290249	32.4
223.441111111	33.1
225.287278911	33.2
227.305215419	33.3
228.733310657	33.4
230.316553287	34.1
231.668616780	34.2
232.973582766	34.3
234.556462585	34.4
236.404195011	35.1
238.443265306	35.2
240.131292517	3.2
241.734716553	3.3
243.258049886	New Point
244.505079365	36.2
245.977120181	36.3
247.373605442	36.4
248.852585034	37.1
250.216553287	37.2
251.758321995	37.3
253.308843537	4.2
254.769342403	4.3
256.080385487	4.4
257.576757369	38.2
259.076643990	New Point
260.697913832	5.1
263.053061224	New Point
265.072471655	7.1
266.611700680	6.1
268.021972789	6.2
269.667777777	6.3
271.196326530	7.2
272.708140589	40.1
274.369977324	40.2
276.112426303	40.3
277.904603174	40.4
279.698548752	41.1
281.542108843	41.2
283.826689342	41.3
285.664331065	41.4
288.004285714	10.1
290.858956916	New Point
295.627233560	11.1
301.336961451	New Point
306
