0.480	65
0.660	51
0.670	34
0.670	39
1.010	51
1.190	39
2.270	51
2.290	48
2.810	34
3.160	51
3.710	48
4.770	65
4.950	34
5.290	48
6.030	34
7.100	34
7.100	48
8.540	70
9.060	65
9.080	60
9.240	34
9.240	39
9.240	51
9.770	39
10.840	51
10.860	39
11.380	34
11.730	51
12.270	36
12.820	51
13.520	48
13.870	51
15.670	34
15.670	48
16.740	48
17.330	60
17.730	80
17.800	34
18.160	63
18.860	51
18.880	48
19.230	46
19.490	60
19.950	34
20.480	39
20.480	51
21.010	34
22.100	34
23.180	48
23.700	48
24.760	39
24.760	51
25.060	51
25.130	70
25.310	48
25.610	58
25.890	48
26.230	53
26.760	63
26.950	49
27.260	61
27.450	34
27.460	48
27.990	70
28.000	47
28.520	34
28.980	57
29.050	39
29.600	48
30.490	39
30.680	34
31.000	65
31.380	51
31.740	34
32.100	51
32.330	86
32.340	47
32.350	59
32.450	39
32.520	57
32.540	70
32.810	34
33.170	51
33.860	34
34.310	55
34.410	41
34.460	53
34.950	63
34.960	34
34.960	70
35.480	63
35.480	70
36.030	34
36.030	63
36.030	70
36.230	65
36.550	51
36.750	65
37.090	63
37.100	34
37.280	65
37.510	63
37.590	63
37.990	63
38.120	63
38.170	34
38.540	70
38.540	72
38.720	65
39.240	34
39.240	63
39.240	70
39.420	65
39.420	89
39.780	70
39.950	63
40.320	34
40.320	70
40.490	59
40.850	34
40.850	65
40.850	70
41.380	63
41.390	70
41.900	63
41.920	51
42.460	34
42.460	63
42.830	63
42.830	70
42.980	63
43.520	63
43.530	34
43.710	65
44.050	61
44.070	63
44.220	65
44.420	63
45.320	65
45.670	63
45.850	65
46.020	59
46.020	65
46.030	61
46.040	63
46.550	56
46.560	63
46.570	71
46.730	63
46.740	34
47.100	40
47.320	65
47.800	63
47.810	34
47.810	70
48.180	65
48.230	63
48.340	57
48.350	63
48.350	70
48.520	63
48.630	63
48.840	63
48.890	34
48.890	70
49.420	70
49.950	34
49.960	70
50.480	63
51.030	34
51.030	63
51.390	63
52.830	65
54.790	70
55.040	59
55.310	65
55.490	60
56.200	34
56.200	63
56.370	34
56.370	51
56.380	39
57.280	63
57.440	51
57.800	63
57.980	34
58.510	51
58.520	34
58.870	63
58.870	87
59.410	34
59.590	34
59.960	34
59.960	53
59.960	63
60.480	53
60.480	63
60.660	51
61.200	51
61.540	63
61.720	51
61.750	39
62.100	63
62.270	51
62.790	51
62.810	34
63.710	63
64.240	63
64.250	34
64.250	70
64.780	65
64.940	51
64.950	34
64.950	70
65.290	70
65.490	34
65.840	34
66.370	63
66.380	34
66.550	70
66.560	34
66.560	51
67.080	51
67.100	34
67.450	84
67.450	87
67.460	63
67.990	34
67.990	63
68.160	34
68.530	53
68.540	63
69.050	53
69.050	63
69.230	51
70.120	80
70.130	63
70.300	51
70.310	34
70.310	63
70.840	51
70.850	48
71.380	34
71.730	63
72.440	48
72.440	52
72.820	63
73.170	68
73.350	65
73.510	34
73.510	51
73.860	63
74.050	48
74.120	63
74.400	34
74.400	63
74.870	63
74.940	63
75.140	48
75.500	63
75.660	34
75.660	51
75.670	39
75.990	63
76.010	34
76.200	34
76.560	53
76.560	63
76.720	51
77.080	51
77.620	63
77.800	51
78.170	51
78.340	48
78.690	63
78.870	51
79.220	53
79.370	63
79.760	63
