pattern1
occurrence1
141.25, 73
141.5, 72
141.75, 71
142, 70
142.25, 69
142.5, 68
142.75, 67
143, 66
143.25, 64
143.5, 63
143.75, 61
144, 32
144, 44
144, 56
145, 93
145, 64
145, 76
145.25, 92
145.5, 100
145.75, 88
146, 90
146, 61
146, 73
146.25, 88
146.5, 97
146.75, 85
147, 68
147, 87
147, 56
147.25, 85
147.5, 92
147.75, 80
148, 81
148, 64
148, 52

occurrence2 
453, 74
453.25, 73
453.5, 72
453.75, 71
454, 70
454.25, 69
454.5, 68
454.75, 67
455, 66
455.25, 64
455.5, 63
455.75, 61
456, 44
456, 56
456, 32
457, 76
457, 93
457, 64
457.25, 92
457.5, 100
457.75, 88
458, 73
458, 90
458, 61
458.25, 88
458.5, 97
458.75, 85
459, 68
459, 87
459, 56
459.25, 85
459.5, 92
459.75, 80
460, 52
460, 64
460, 81

pattern4
occurrence1 
168, 68
168, 37
168.33333, 56
168.66667, 60
169, 63
169.33333, 60
169.66667, 56
170, 49
170, 70
170.125, 72
170.25, 70
170.33333, 56
170.5, 68
170.66667, 60
171, 66
171, 73
171.33333, 60
171.5, 75
171.66667, 56
172, 77
172, 49
172.33333, 56
172.66667, 61
173, 65
173.33333, 61
173.66667, 56
174, 49
174, 80
174.33333, 56
174.66667, 65
175, 68
175.33333, 65
175.66667, 56
176, 78
176, 66
176.33333, 63
176.66667, 56
177, 65
177, 77
177.33333, 61
177.66667, 56
178, 75
178, 63
178.33333, 60
178.66667, 56
179, 77
179, 61
179.33333, 56
179.66667, 53
179.75, 73
180, 68
180, 44
180.33333, 51
180.66667, 56
181, 60
181.33333, 56
181.66667, 51

occurrence2 
184, 46
184.33333, 53
184.66667, 58
185, 62
185.33333, 58
185.66667, 53
186, 46
186, 71
186.125, 73
186.25, 71
186.33333, 58
186.5, 70
186.66667, 62
187, 68
187, 75
187.33333, 62
187.5, 77
187.66667, 58
188, 51
188, 78
188.33333, 66
188.66667, 58
189, 53
189, 77
189.33333, 65
189.66667, 57
190, 54
190, 75
190.33333, 63
190.66667, 58
191, 77
191, 56
191.33333, 66
191.66667, 60
192, 73
192, 49
