(166/3 71 66 1/3 0)
(167/3 69 65 1/3 0)
(56 45 51 1 1)
(56 52 55 1 1)
(56 57 58 1 1)
(56 61 60 1 0)
(56 68 64 1/2 0)
(113/2 66 63 1/2 0)
(57 40 48 1 1)
(57 68 64 2 0)
(58 52 55 1 1)
(58 59 59 1 0)
(58 64 62 1 0)
(59 52 55 1 1)
(59 59 59 1 1)
(59 62 61 1 0)
(59 64 62 1 0)
(60 45 51 1 1)
(60 64 62 1/2 0)
(121/2 68 64 1/2 0)
(61 52 55 1 1)
(61 57 58 1 1)
(61 61 60 1 0)
(61 69 65 1/2 0)
(123/2 71 66 1/2 0)
(62 45 51 1 1)
(62 52 55 1 1)
(62 57 58 1 1)
(62 61 60 1 0)
(62 73 67 1/2 0)
(125/2 74 68 1/2 0)
(63 38 47 1 1)
(63 73 67 1 0)
(64 54 56 1 1)
(64 59 59 1 1)
(64 62 61 1 0)
(64 71 66 1/2 0)
(129/2 69 65 1/2 0)
(65 47 52 1 1)
(65 54 56 1 1)
(65 59 59 1 1)
(65 62 61 1 0)
(65 68 64 1/2 0)
(131/2 66 63 1/2 0)
(66 40 48 1 1)
(66 64 62 1/2 0)
(133/2 68 64 1/2 0)
(67 52 55 1 1)
(67 59 59 1 1)
(67 62 61 1 0)
(67 68 64 1/3 0)
(202/3 69 65 1/3 0)
(203/3 68 64 1/3 0)
(68 52 55 1 1)
(68 59 59 1 1)
(68 62 61 1 0)
(68 66 63 1/2 0)
(137/2 64 62 1/2 0)
(69 33 44 1 1)
(69 69 65 3 0)
(70 45 51 1 1)
(70 52 55 1 1)
(70 57 58 1 1)
(70 61 60 1 0)
(71 45 51 2 1)
(71 52 55 2 1)
(71 57 58 2 1)
(71 61 60 2 0)
(72 64 62 1/2 0)
(145/2 68 64 1/2 0)
(73 45 51 1 1)
(73 52 55 1 1)
(73 57 58 1 1)
(73 61 60 1 0)
(73 69 65 1/2 0)
(147/2 71 66 1/2 0)
(74 45 51 1 1)
(74 52 55 1 1)
(74 57 58 1 1)
(74 61 60 1 0)
(74 73 67 1/2 0)
(149/2 74 68 1/2 0)
(75 40 48 1 1)
(75 73 67 1 0)
(76 52 55 1 1)
(76 59 59 1 1)
(76 62 61 1 0)
(76 71 66 1/2 0)
