ontime, MNN, MPN, duration, channel
-1.00, 69.00, 65.00, 1.50, 0.00
0.00, 50.00, 54.00, 1.00, 1.00
0.00, 66.00, 63.00, 1.00, 0.00
0.50, 73.00, 67.00, 0.50, 0.00
1.00, 50.00, 54.00, 1.00, 1.00
1.00, 57.00, 58.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 1.00
1.00, 66.00, 63.00, 1.00, 0.00
1.00, 74.00, 68.00, 0.50, 0.00
1.50, 76.00, 69.00, 0.50, 0.00
2.00, 50.00, 54.00, 1.00, 1.00
2.00, 57.00, 58.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 66.00, 63.00, 1.00, 0.00
2.00, 78.00, 70.00, 0.50, 0.00
2.50, 79.00, 71.00, 0.50, 0.00
3.00, 45.00, 51.00, 1.00, 1.00
3.00, 78.00, 70.00, 1.00, 0.00
4.00, 52.00, 55.00, 1.00, 1.00
4.00, 57.00, 58.00, 1.00, 1.00
4.00, 61.00, 60.00, 1.00, 1.00
4.00, 67.00, 64.00, 1.00, 0.00
4.00, 76.00, 69.00, 0.50, 0.00
4.50, 74.00, 68.00, 0.50, 0.00
5.00, 52.00, 55.00, 1.00, 1.00
5.00, 57.00, 58.00, 1.00, 1.00
5.00, 61.00, 60.00, 1.00, 1.00
5.00, 67.00, 64.00, 1.00, 0.00
5.00, 73.00, 67.00, 0.50, 0.00
5.50, 71.00, 66.00, 0.50, 0.00
6.00, 38.00, 47.00, 1.00, 1.00
6.00, 69.00, 65.00, 0.50, 0.00
6.50, 74.00, 68.00, 0.50, 0.00
7.00, 50.00, 54.00, 1.00, 1.00
7.00, 57.00, 58.00, 1.00, 1.00
7.00, 62.00, 61.00, 1.00, 1.00
7.00, 66.00, 63.00, 1.00, 0.00
7.00, 74.00, 68.00, 0.33, 0.00
7.33, 76.00, 69.00, 0.33, 0.00
7.67, 74.00, 68.00, 0.33, 0.00
8.00, 50.00, 54.00, 1.00, 1.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 1.00
8.00, 66.00, 63.00, 1.00, 0.00
8.00, 73.00, 67.00, 0.50, 0.00
8.50, 71.00, 66.00, 0.50, 0.00
9.00, 45.00, 51.00, 1.00, 1.00
9.00, 73.00, 67.00, 2.00, 0.00
10.00, 57.00, 58.00, 1.00, 1.00
10.00, 64.00, 62.00, 1.00, 0.00
10.00, 69.00, 65.00, 1.00, 0.00
11.00, 57.00, 58.00, 1.00, 1.00
11.00, 64.00, 62.00, 1.00, 1.00
11.00, 67.00, 64.00, 1.00, 0.00
11.00, 69.00, 65.00, 1.00, 0.00
12.00, 50.00, 54.00, 1.00, 1.00
