ontime, MNN, MPN, duration, channel
0.00, 44.00, 50.00, 1.00, 1.00
0.00, 51.00, 54.00, 1.00, 1.00
0.00, 60.00, 59.00, 1.00, 1.00
0.00, 68.00, 64.00, 1.00, 0.00
1.00, 44.00, 50.00, 2.00, 1.00
1.00, 51.00, 54.00, 2.00, 1.00
1.00, 58.00, 58.00, 1.00, 1.00
1.00, 68.00, 64.00, 2.00, 0.00
2.00, 60.00, 59.00, 0.50, 1.00
2.50, 61.00, 60.00, 0.50, 1.00
3.00, 44.00, 50.00, 1.00, 1.00
3.00, 51.00, 54.00, 1.00, 1.00
3.00, 63.00, 61.00, 0.50, 0.00
3.00, 68.00, 64.00, 1.00, 0.00
3.50, 60.00, 59.00, 0.50, 0.00
4.00, 44.00, 50.00, 2.00, 1.00
4.00, 51.00, 54.00, 2.00, 1.00
4.00, 61.00, 60.00, 1.50, 0.00
4.00, 68.00, 64.00, 2.00, 0.00
5.50, 58.00, 58.00, 0.50, 0.00
6.00, 44.00, 50.00, 1.00, 1.00
6.00, 51.00, 54.00, 1.00, 1.00
6.00, 60.00, 59.00, 0.33, 1.00
6.00, 68.00, 64.00, 1.00, 0.00
6.33, 61.00, 60.00, 0.33, 1.00
6.67, 60.00, 59.00, 0.33, 1.00
7.00, 44.00, 50.00, 2.00, 1.00
7.00, 51.00, 54.00, 2.00, 1.00
7.00, 58.00, 58.00, 1.00, 1.00
7.00, 68.00, 64.00, 2.00, 0.00
8.00, 60.00, 59.00, 0.50, 1.00
8.50, 61.00, 60.00, 0.50, 1.00
9.00, 44.00, 50.00, 1.00, 1.00
9.00, 51.00, 54.00, 1.00, 1.00
9.00, 63.00, 61.00, 0.33, 0.00
9.00, 68.00, 64.00, 1.00, 0.00
9.33, 66.00, 63.00, 0.33, 0.00
9.67, 64.00, 62.00, 0.33, 0.00
10.00, 44.00, 50.00, 2.00, 1.00
10.00, 51.00, 54.00, 2.00, 1.00
10.00, 63.00, 61.00, 2.00, 0.00
10.00, 68.00, 64.00, 2.00, 0.00
12.00, 44.00, 50.00, 1.00, 1.00
