ontime, MNN, MPN, duration, channel
0.00, 48.00, 53.00, 1.00, 1.00
1.00, 58.00, 59.00, 1.00, 1.00
1.00, 64.00, 62.00, 1.00, 1.00
1.00, 73.00, 68.00, 2.50, 0.00
2.00, 58.00, 59.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 1.00
3.00, 48.00, 53.00, 1.00, 1.00
3.50, 72.00, 67.00, 0.50, 0.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 65.00, 63.00, 1.00, 1.00
4.00, 70.00, 66.00, 0.50, 0.00
4.50, 68.00, 65.00, 0.50, 0.00
5.00, 56.00, 58.00, 1.00, 1.00
5.00, 60.00, 60.00, 1.00, 1.00
5.00, 67.00, 64.00, 0.50, 0.00
5.50, 65.00, 63.00, 0.50, 0.00
6.00, 48.00, 53.00, 1.00, 1.00
6.00, 67.00, 64.00, 0.50, 0.00
6.50, 60.00, 60.00, 0.50, 0.00
7.00, 58.00, 59.00, 1.00, 1.00
7.00, 64.00, 62.00, 1.00, 1.00
7.00, 72.00, 67.00, 1.50, 0.00
8.00, 58.00, 59.00, 1.00, 1.00
8.00, 64.00, 62.00, 1.00, 1.00
8.50, 67.00, 64.00, 0.50, 0.00
9.00, 41.00, 49.00, 1.00, 1.00
9.00, 68.00, 65.00, 0.75, 0.00
9.75, 72.00, 67.00, 0.25, 0.00
10.00, 56.00, 58.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 65.00, 63.00, 1.00, 1.00
10.00, 77.00, 70.00, 3.00, 0.00
11.00, 56.00, 58.00, 1.00, 1.00
11.00, 61.00, 61.00, 1.00, 1.00
11.00, 65.00, 63.00, 1.00, 1.00
12.00, 43.00, 50.00, 1.00, 1.00
13.00, 51.00, 55.00, 1.00, 1.00
13.00, 58.00, 59.00, 1.00, 1.00
13.00, 61.00, 61.00, 1.00, 1.00
13.00, 77.00, 70.00, 2.50, 0.00
14.00, 51.00, 55.00, 1.00, 1.00
14.00, 58.00, 59.00, 1.00, 1.00
14.00, 61.00, 61.00, 1.00, 1.00
15.00, 44.00, 51.00, 1.00, 1.00
15.50, 75.00, 69.00, 0.50, 0.00
16.00, 51.00, 55.00, 1.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 73.00, 68.00, 0.50, 0.00
16.50, 72.00, 67.00, 0.50, 0.00
17.00, 70.00, 66.00, 0.50, 0.00
17.50, 68.00, 65.00, 0.50, 0.00
18.00, 46.00, 52.00, 1.00, 1.00
18.00, 67.00, 65.00, 0.50, 0.00
18.50, 66.00, 64.00, 0.50, 0.00
19.00, 54.00, 57.00, 1.00, 1.00
19.00, 61.00, 61.00, 1.00, 1.00
19.00, 70.00, 66.00, 0.50, 0.00
19.50, 65.00, 63.00, 0.50, 0.00
20.00, 58.00, 59.00, 1.00, 1.00
20.00, 61.00, 61.00, 1.00, 1.00
20.00, 68.00, 65.00, 0.50, 0.00
20.50, 66.00, 64.00, 0.50, 0.00
21.00, 48.00, 53.00, 1.00, 1.00
21.00, 65.00, 63.00, 0.50, 0.00
21.50, 64.00, 62.00, 0.50, 0.00
22.00, 55.00, 57.00, 1.00, 1.00
22.00, 60.00, 60.00, 2.00, 0.00
22.00, 64.00, 62.00, 1.00, 1.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 1.00
24.00, 36.00, 46.00, 1.00, 1.00
24.00, 73.00, 68.00, 1.00, 0.00
25.00, 58.00, 59.00, 1.00, 1.00
25.00, 64.00, 62.00, 1.00, 1.00
25.00, 73.00, 68.00, 2.50, 0.00
26.00, 58.00, 59.00, 1.00, 1.00
26.00, 64.00, 62.00, 1.00, 1.00
27.00, 48.00, 53.00, 1.00, 1.00
27.50, 72.00, 67.00, 0.50, 0.00
28.00, 56.00, 58.00, 1.00, 1.00
28.00, 60.00, 60.00, 1.00, 1.00
28.00, 65.00, 63.00, 1.00, 1.00
28.00, 70.00, 66.00, 0.50, 0.00
28.50, 68.00, 65.00, 0.50, 0.00
29.00, 56.00, 58.00, 1.00, 1.00
29.00, 60.00, 60.00, 1.00, 1.00
29.00, 67.00, 64.00, 0.50, 0.00
29.50, 65.00, 63.00, 0.50, 0.00
30.00, 36.00, 46.00, 1.00, 1.00
30.00, 67.00, 64.00, 0.50, 0.00
30.50, 60.00, 60.00, 0.50, 0.00
31.00, 58.00, 59.00, 1.00, 1.00
31.00, 64.00, 62.00, 1.00, 1.00
31.00, 72.00, 67.00, 1.50, 0.00
32.00, 58.00, 59.00, 1.00, 1.00
32.00, 64.00, 62.00, 1.00, 1.00
32.50, 67.00, 64.00, 0.50, 0.00
33.00, 41.00, 49.00, 1.00, 1.00
33.00, 69.00, 65.00, 0.50, 0.00
33.50, 72.00, 67.00, 0.50, 0.00
34.00, 53.00, 56.00, 1.00, 1.00
34.00, 63.00, 62.00, 1.00, 1.00
34.00, 77.00, 70.00, 1.50, 0.00
35.00, 53.00, 56.00, 1.00, 1.00
35.00, 57.00, 58.00, 1.00, 1.00
35.00, 63.00, 62.00, 1.00, 1.00
35.50, 76.00, 69.00, 0.50, 0.00
36.00, 46.00, 52.00, 1.00, 1.00
36.00, 75.00, 69.00, 0.50, 0.00
36.50, 74.00, 68.00, 0.50, 0.00
37.00, 53.00, 56.00, 1.00, 1.00
37.00, 55.00, 57.00, 1.00, 1.00
37.00, 61.00, 61.00, 1.00, 1.00
37.00, 65.00, 63.00, 1.00, 1.00
37.00, 73.00, 68.00, 0.50, 0.00
37.50, 69.00, 65.00, 0.50, 0.00
38.00, 70.00, 66.00, 0.50, 0.00
38.50, 71.00, 66.00, 0.50, 0.00
39.00, 48.00, 53.00, 1.00, 1.00
39.00, 73.00, 68.00, 0.50, 0.00
39.50, 73.00, 68.00, 0.50, 0.00
40.00, 56.00, 58.00, 1.00, 1.00
40.00, 60.00, 60.00, 1.00, 1.00
40.00, 65.00, 63.00, 1.00, 1.00
40.00, 72.00, 67.00, 0.50, 0.00
40.50, 67.00, 64.00, 0.50, 0.00
41.00, 68.00, 65.00, 0.50, 0.00
41.50, 71.00, 66.00, 0.50, 0.00
42.00, 36.00, 46.00, 1.00, 1.00
42.00, 73.00, 68.00, 0.50, 0.00
42.50, 72.00, 67.00, 0.50, 0.00
43.00, 55.00, 57.00, 1.00, 1.00
43.00, 64.00, 62.00, 1.00, 1.00
43.00, 71.00, 66.00, 0.50, 0.00
43.50, 66.00, 63.00, 0.50, 0.00
44.00, 58.00, 59.00, 1.00, 1.00
44.00, 60.00, 60.00, 1.00, 1.00
44.00, 64.00, 62.00, 1.00, 1.00
44.00, 67.00, 64.00, 0.50, 0.00
44.50, 70.00, 66.00, 0.50, 0.00
45.00, 41.00, 49.00, 1.00, 1.00
45.00, 69.00, 65.00, 0.50, 0.00
45.50, 68.00, 65.00, 0.50, 0.00
46.00, 56.00, 58.00, 1.00, 1.00
