ontime, MNN, MPN, duration, channel
-1.00, 76.00, 69.00, 2.50, 0.00
0.00, 45.00, 51.00, 1.00, 1.00
1.00, 52.00, 55.00, 1.00, 1.00
1.00, 57.00, 58.00, 1.00, 1.00
1.00, 64.00, 62.00, 1.00, 1.00
1.50, 77.00, 70.00, 0.50, 0.00
2.00, 52.00, 55.00, 1.00, 1.00
2.00, 57.00, 58.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 1.00
2.00, 76.00, 69.00, 0.50, 0.00
2.50, 75.00, 68.00, 0.50, 0.00
3.00, 76.00, 69.00, 0.50, 0.00
3.50, 71.00, 66.00, 0.50, 0.00
4.00, 52.00, 55.00, 1.00, 1.00
4.00, 56.00, 57.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
4.00, 64.00, 62.00, 1.00, 1.00
4.00, 72.00, 67.00, 1.00, 0.00
5.00, 52.00, 55.00, 1.00, 1.00
5.00, 56.00, 57.00, 1.00, 1.00
5.00, 62.00, 61.00, 1.00, 1.00
5.00, 64.00, 62.00, 1.00, 1.00
5.00, 74.00, 68.00, 1.00, 0.00
6.00, 45.00, 51.00, 1.00, 1.00
6.00, 72.00, 67.00, 1.50, 0.00
7.00, 52.00, 55.00, 1.00, 1.00
7.00, 57.00, 58.00, 1.00, 1.00
7.00, 64.00, 62.00, 1.00, 1.00
7.50, 74.00, 68.00, 0.50, 0.00
8.00, 52.00, 55.00, 1.00, 1.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 64.00, 62.00, 1.00, 1.00
8.00, 72.00, 67.00, 0.50, 0.00
8.50, 71.00, 66.00, 0.50, 0.00
9.00, 72.00, 67.00, 0.50, 0.00
9.50, 68.00, 64.00, 0.50, 0.00
10.00, 51.00, 55.00, 1.00, 1.00
10.00, 57.00, 58.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 65.00, 63.00, 1.00, 1.00
10.00, 69.00, 65.00, 1.00, 0.00
11.00, 51.00, 55.00, 1.00, 1.00
11.00, 57.00, 58.00, 1.00, 1.00
11.00, 60.00, 60.00, 1.00, 1.00
11.00, 65.00, 63.00, 1.00, 1.00
11.00, 71.00, 66.00, 1.00, 0.00
12.00, 45.00, 51.00, 1.00, 1.00
12.00, 69.00, 65.00, 1.50, 0.00
13.00, 52.00, 55.00, 1.00, 1.00
13.00, 57.00, 58.00, 1.00, 1.00
13.00, 64.00, 62.00, 1.00, 1.00
13.50, 71.00, 66.00, 0.50, 0.00
14.00, 72.00, 67.00, 0.50, 0.00
14.50, 68.00, 64.00, 0.50, 0.00
15.00, 69.00, 65.00, 0.50, 0.00
15.50, 63.00, 61.00, 0.50, 0.00
16.00, 64.00, 62.00, 1.00, 0.00
17.00, 67.00, 64.00, 0.50, 0.00
17.50, 65.00, 63.00, 0.50, 0.00
18.00, 40.00, 48.00, 1.00, 1.00
18.00, 64.00, 62.00, 0.50, 0.00
18.50, 62.00, 61.00, 0.50, 0.00
19.00, 50.00, 54.00, 1.00, 1.00
19.00, 52.00, 55.00, 1.00, 1.00
19.00, 56.00, 57.00, 1.00, 1.00
19.00, 59.00, 59.00, 1.00, 0.00
20.00, 50.00, 54.00, 1.00, 1.00
20.00, 52.00, 55.00, 1.00, 1.00
20.00, 56.00, 57.00, 1.00, 1.00
20.00, 60.00, 60.00, 1.00, 0.00
21.00, 45.00, 51.00, 1.00, 1.00
21.00, 57.00, 58.00, 1.00, 0.00
22.00, 52.00, 55.00, 1.00, 1.00
22.00, 60.00, 60.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 0.00
24.00, 33.00, 44.00, 1.00, 1.00
24.00, 76.00, 69.00, 1.50, 0.00
25.00, 52.00, 55.00, 1.00, 1.00
