ontime, MNN, MPN, duration, channel
0.00, 36.00, 46.00, 0.50, 1.00
0.00, 48.00, 53.00, 0.50, 1.00
0.00, 55.00, 57.00, 0.50, 0.00
0.00, 60.00, 60.00, 0.50, 0.00
0.00, 64.00, 62.00, 0.50, 0.00
0.50, 36.00, 46.00, 0.50, 1.00
0.50, 48.00, 53.00, 0.50, 1.00
0.50, 55.00, 57.00, 0.50, 0.00
0.50, 62.00, 61.00, 0.50, 0.00
0.50, 65.00, 63.00, 0.50, 0.00
1.00, 36.00, 46.00, 1.00, 1.00
1.00, 48.00, 53.00, 1.00, 1.00
1.00, 55.00, 57.00, 1.00, 0.00
1.00, 64.00, 62.00, 1.00, 0.00
1.00, 67.00, 64.00, 1.00, 0.00
2.00, 36.00, 46.00, 1.00, 1.00
2.00, 48.00, 53.00, 1.00, 1.00
2.00, 55.00, 57.00, 1.00, 0.00
2.00, 65.00, 63.00, 1.00, 0.00
2.00, 69.00, 65.00, 1.00, 0.00
3.00, 36.00, 46.00, 0.50, 1.00
3.00, 48.00, 53.00, 0.50, 1.00
3.00, 55.00, 57.00, 0.50, 0.00
3.00, 64.00, 62.00, 0.50, 0.00
3.00, 67.00, 64.00, 0.50, 0.00
3.50, 36.00, 46.00, 0.50, 1.00
3.50, 48.00, 53.00, 0.50, 1.00
3.50, 55.00, 57.00, 0.50, 0.00
3.50, 60.00, 60.00, 0.50, 0.00
3.50, 64.00, 62.00, 0.50, 0.00
4.00, 36.00, 46.00, 1.00, 1.00
4.00, 48.00, 53.00, 1.00, 1.00
4.00, 55.00, 57.00, 1.00, 0.00
4.00, 60.00, 60.00, 1.00, 0.00
5.00, 36.00, 46.00, 1.00, 1.00
5.00, 48.00, 53.00, 1.00, 1.00
5.00, 55.00, 57.00, 1.00, 0.00
5.00, 62.00, 61.00, 1.00, 0.00
6.00, 36.00, 46.00, 0.50, 1.00
6.00, 48.00, 53.00, 0.50, 1.00
6.00, 55.00, 57.00, 0.50, 0.00
6.00, 60.00, 60.00, 0.50, 0.00
6.00, 64.00, 62.00, 0.50, 0.00
6.50, 36.00, 46.00, 0.50, 1.00
6.50, 48.00, 53.00, 0.50, 1.00
6.50, 55.00, 57.00, 0.50, 0.00
6.50, 62.00, 61.00, 0.50, 0.00
6.50, 65.00, 63.00, 0.50, 0.00
