ontime, MNN, MPN, duration, channel
0.00, 52.00, 55.00, 1.00, 1.00
0.00, 62.00, 61.00, 1.00, 0.00
0.00, 64.00, 62.00, 1.00, 0.00
0.00, 68.00, 64.00, 1.00, 0.00
0.00, 71.00, 66.00, 1.00, 0.00
1.00, 52.00, 55.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 0.00
1.00, 64.00, 62.00, 1.00, 0.00
1.00, 68.00, 64.00, 1.00, 0.00
1.00, 71.00, 66.00, 1.00, 0.00
2.00, 52.00, 55.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 0.00
2.00, 64.00, 62.00, 1.00, 0.00
2.00, 68.00, 64.00, 1.00, 0.00
2.00, 72.00, 67.00, 0.75, 0.00
2.75, 71.00, 66.00, 0.25, 0.00
3.00, 45.00, 51.00, 3.00, 1.00
3.00, 52.00, 55.00, 3.00, 1.00
3.00, 60.00, 60.00, 3.00, 0.00
3.00, 64.00, 62.00, 3.00, 0.00
3.00, 71.00, 66.00, 1.00, 0.00
4.00, 69.00, 65.00, 0.75, 0.00
4.75, 68.00, 64.00, 0.25, 0.00
5.00, 69.00, 65.00, 1.00, 0.00
6.00, 47.00, 52.00, 1.00, 1.00
6.00, 57.00, 58.00, 1.00, 1.00
6.00, 59.00, 59.00, 1.00, 1.00
6.00, 63.00, 61.00, 1.00, 0.00
6.00, 66.00, 63.00, 1.00, 0.00
7.00, 47.00, 52.00, 1.00, 1.00
7.00, 57.00, 58.00, 1.00, 1.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 63.00, 61.00, 1.00, 0.00
7.00, 66.00, 63.00, 1.00, 0.00
8.00, 47.00, 52.00, 1.00, 1.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 59.00, 59.00, 1.00, 1.00
8.00, 63.00, 61.00, 1.00, 1.00
8.00, 67.00, 64.00, 0.75, 0.00
8.75, 66.00, 63.00, 0.25, 0.00
9.00, 40.00, 48.00, 3.00, 1.00
9.00, 52.00, 55.00, 3.00, 1.00
9.00, 57.00, 58.00, 1.00, 1.00
9.00, 60.00, 60.00, 1.00, 1.00
9.00, 66.00, 63.00, 0.50, 0.00
9.50, 64.00, 62.00, 0.50, 0.00
10.00, 55.00, 57.00, 2.00, 1.00
10.00, 59.00, 59.00, 2.00, 1.00
10.00, 64.00, 62.00, 0.50, 0.00
10.50, 63.00, 61.00, 0.50, 0.00
11.00, 64.00, 62.00, 1.00, 0.00
12.00, 52.00, 55.00, 1.00, 1.00
12.00, 62.00, 61.00, 1.00, 0.00
12.00, 64.00, 62.00, 1.00, 0.00
12.00, 68.00, 64.00, 1.00, 0.00
12.00, 71.00, 66.00, 1.00, 0.00
13.00, 52.00, 55.00, 1.00, 1.00
13.00, 62.00, 61.00, 1.00, 0.00
13.00, 64.00, 62.00, 1.00, 0.00
13.00, 68.00, 64.00, 1.00, 0.00
13.00, 71.00, 66.00, 1.00, 0.00
14.00, 52.00, 55.00, 1.00, 1.00
14.00, 62.00, 61.00, 1.00, 0.00
14.00, 64.00, 62.00, 1.00, 0.00
14.00, 68.00, 64.00, 1.00, 0.00
14.00, 72.00, 67.00, 0.75, 0.00
14.75, 71.00, 66.00, 0.25, 0.00
15.00, 45.00, 51.00, 3.00, 1.00
15.00, 52.00, 55.00, 3.00, 1.00
15.00, 62.00, 61.00, 1.00, 0.00
15.00, 64.00, 62.00, 1.00, 0.00
15.00, 68.00, 64.00, 1.00, 0.00
15.00, 76.00, 69.00, 0.50, 0.00
15.50, 71.00, 66.00, 0.50, 0.00
16.00, 60.00, 60.00, 2.50, 0.00
16.00, 69.00, 65.00, 0.50, 0.00
16.50, 68.00, 64.00, 0.50, 0.00
17.00, 69.00, 65.00, 1.00, 0.00
18.00, 72.00, 67.00, 0.50, 0.00
18.50, 55.00, 57.00, 0.50, 1.00
18.50, 67.00, 64.00, 0.50, 0.00
19.00, 53.00, 56.00, 1.00, 1.00
19.00, 65.00, 63.00, 1.00, 0.00
20.00, 52.00, 55.00, 0.75, 1.00
20.00, 64.00, 62.00, 0.75, 0.00
20.75, 55.00, 57.00, 0.25, 1.00
20.75, 67.00, 64.00, 0.25, 0.00
21.00, 52.00, 55.00, 1.00, 1.00
21.00, 64.00, 62.00, 2.00, 0.00
22.00, 40.00, 48.00, 1.00, 1.00
22.00, 47.00, 52.00, 1.00, 1.00
22.00, 55.00, 57.00, 1.00, 1.00
22.00, 59.00, 59.00, 1.00, 1.00
23.00, 71.00, 66.00, 1.00, 0.00
24.00, 71.00, 66.00, 1.00, 0.00
25.00, 52.00, 55.00, 1.00, 1.00
25.00, 62.00, 61.00, 1.00, 0.00
25.00, 64.00, 62.00, 1.00, 0.00
25.00, 68.00, 64.00, 1.00, 0.00
25.00, 71.00, 66.00, 1.00, 0.00
26.00, 52.00, 55.00, 1.00, 1.00
26.00, 62.00, 61.00, 1.00, 0.00
26.00, 64.00, 62.00, 1.00, 0.00
26.00, 68.00, 64.00, 1.00, 0.00
26.00, 72.00, 67.00, 0.75, 0.00
26.75, 71.00, 66.00, 0.25, 0.00
27.00, 45.00, 51.00, 3.00, 1.00
27.00, 52.00, 55.00, 3.00, 1.00
27.00, 60.00, 60.00, 3.00, 0.00
27.00, 64.00, 62.00, 3.00, 0.00
27.00, 71.00, 66.00, 1.00, 0.00
28.00, 69.00, 65.00, 0.75, 0.00
28.75, 68.00, 64.00, 0.25, 0.00
29.00, 69.00, 65.00, 1.00, 0.00
30.00, 47.00, 52.00, 1.00, 1.00
30.00, 57.00, 58.00, 1.00, 1.00
30.00, 59.00, 59.00, 1.00, 1.00
30.00, 63.00, 61.00, 1.00, 0.00
30.00, 66.00, 63.00, 1.00, 0.00
31.00, 47.00, 52.00, 1.00, 1.00
31.00, 57.00, 58.00, 1.00, 1.00
31.00, 59.00, 59.00, 1.00, 1.00
31.00, 63.00, 61.00, 1.00, 0.00
31.00, 66.00, 63.00, 1.00, 0.00
32.00, 47.00, 52.00, 1.00, 1.00
32.00, 57.00, 58.00, 1.00, 1.00
32.00, 59.00, 59.00, 1.00, 1.00
32.00, 63.00, 61.00, 1.00, 1.00
32.00, 67.00, 64.00, 0.75, 0.00
32.75, 66.00, 63.00, 0.25, 0.00
33.00, 40.00, 48.00, 3.00, 1.00
33.00, 52.00, 55.00, 3.00, 1.00
33.00, 57.00, 58.00, 1.00, 1.00
33.00, 60.00, 60.00, 1.00, 1.00
33.00, 66.00, 63.00, 0.50, 0.00
33.50, 64.00, 62.00, 0.50, 0.00
34.00, 55.00, 57.00, 2.00, 1.00
34.00, 59.00, 59.00, 2.00, 1.00
34.00, 64.00, 62.00, 0.50, 0.00
34.50, 63.00, 61.00, 0.50, 0.00
35.00, 64.00, 62.00, 0.50, 0.00
35.50, 67.00, 64.00, 0.50, 0.00
36.00, 71.00, 66.00, 1.00, 0.00
37.00, 52.00, 55.00, 1.00, 1.00
37.00, 62.00, 61.00, 1.00, 0.00
37.00, 64.00, 62.00, 1.00, 0.00
37.00, 68.00, 64.00, 1.00, 0.00
37.00, 71.00, 66.00, 1.00, 0.00
38.00, 52.00, 55.00, 1.00, 1.00
38.00, 62.00, 61.00, 1.00, 0.00
38.00, 64.00, 62.00, 1.00, 0.00
38.00, 68.00, 64.00, 1.00, 0.00
38.00, 72.00, 67.00, 0.75, 0.00
