ontime, MNN, MPN, duration, channel
0.00, 41.00, 49.00, 1.00, 1.00
0.00, 65.00, 63.00, 0.50, 0.00
0.75, 65.00, 63.00, 0.25, 0.00
1.00, 53.00, 56.00, 1.00, 1.00
1.00, 60.00, 60.00, 1.00, 1.00
1.00, 63.00, 62.00, 1.00, 1.00
1.00, 67.00, 64.00, 1.00, 0.00
2.00, 53.00, 56.00, 1.00, 1.00
2.00, 60.00, 60.00, 1.00, 1.00
2.00, 63.00, 62.00, 1.00, 1.00
2.00, 69.00, 65.00, 1.00, 0.00
3.00, 46.00, 52.00, 1.00, 1.00
3.00, 70.00, 66.00, 0.50, 0.00
3.75, 72.00, 67.00, 0.25, 0.00
4.00, 53.00, 56.00, 1.00, 1.00
4.00, 58.00, 59.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
4.00, 74.00, 68.00, 1.00, 0.00
5.00, 46.00, 52.00, 1.00, 1.00
5.00, 75.00, 69.00, 0.50, 0.00
5.50, 77.00, 70.00, 0.50, 0.00
6.00, 39.00, 48.00, 1.00, 1.00
6.00, 51.00, 55.00, 1.00, 1.00
6.00, 79.00, 71.00, 0.50, 0.00
6.75, 81.00, 72.00, 0.25, 0.00
7.00, 55.00, 57.00, 1.00, 1.00
7.00, 58.00, 59.00, 1.00, 1.00
7.00, 63.00, 62.00, 1.00, 1.00
7.00, 67.00, 64.00, 1.00, 1.00
7.00, 82.00, 73.00, 1.00, 0.00
8.00, 81.00, 72.00, 0.50, 0.00
8.50, 79.00, 71.00, 0.50, 0.00
9.00, 46.00, 52.00, 1.00, 1.00
9.00, 82.00, 73.00, 0.50, 0.00
9.75, 82.00, 73.00, 0.25, 0.00
10.00, 53.00, 56.00, 1.00, 1.00
10.00, 58.00, 59.00, 1.00, 1.00
10.00, 62.00, 61.00, 1.00, 1.00
10.00, 74.00, 68.00, 2.00, 0.00
11.00, 53.00, 56.00, 1.00, 1.00
11.00, 58.00, 59.00, 1.00, 1.00
11.00, 62.00, 61.00, 1.00, 1.00
12.00, 41.00, 49.00, 1.00, 1.00
12.00, 79.00, 71.00, 0.50, 0.00
12.75, 79.00, 71.00, 0.25, 0.00
13.00, 53.00, 56.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
13.00, 63.00, 62.00, 1.00, 1.00
13.00, 69.00, 65.00, 2.00, 0.00
14.00, 53.00, 56.00, 1.00, 1.00
14.00, 60.00, 60.00, 1.00, 1.00
14.00, 63.00, 62.00, 1.00, 1.00
15.00, 46.00, 52.00, 1.00, 1.00
15.00, 74.00, 68.00, 0.50, 0.00
15.75, 74.00, 68.00, 0.25, 0.00
16.00, 53.00, 56.00, 1.00, 1.00
16.00, 58.00, 59.00, 1.00, 1.00
16.00, 62.00, 61.00, 1.00, 1.00
16.00, 64.00, 62.00, 2.00, 0.00
17.00, 53.00, 56.00, 1.00, 1.00
17.00, 58.00, 59.00, 1.00, 1.00
17.00, 62.00, 61.00, 1.00, 1.00
18.00, 41.00, 49.00, 1.00, 1.00
18.00, 65.00, 63.00, 0.50, 0.00
18.75, 69.00, 65.00, 0.25, 0.00
19.00, 53.00, 56.00, 1.00, 1.00
19.00, 63.00, 62.00, 1.00, 1.00
19.00, 72.00, 67.00, 0.50, 0.00
19.50, 75.00, 69.00, 0.50, 0.00
20.00, 53.00, 56.00, 1.00, 1.00
20.00, 57.00, 58.00, 1.00, 1.00
20.00, 63.00, 62.00, 1.00, 1.00
20.00, 79.00, 71.00, 0.75, 0.00
20.75, 77.00, 70.00, 0.25, 0.00
21.00, 46.00, 52.00, 1.00, 1.00
21.00, 86.00, 75.00, 0.50, 0.00
21.75, 84.00, 74.00, 0.25, 0.00
22.00, 53.00, 56.00, 1.00, 1.00
22.00, 58.00, 59.00, 1.00, 1.00
22.00, 62.00, 61.00, 1.00, 1.00
22.00, 82.00, 73.00, 0.50, 0.00
22.50, 79.00, 71.00, 0.50, 0.00
23.00, 53.00, 56.00, 1.00, 1.00
23.00, 58.00, 59.00, 1.00, 1.00
23.00, 62.00, 61.00, 1.00, 1.00
23.00, 77.00, 70.00, 1.00, 0.00
24.00, 46.00, 52.00, 1.00, 1.00
24.00, 82.00, 73.00, 0.50, 0.00
24.75, 82.00, 73.00, 0.25, 0.00
25.00, 53.00, 56.00, 1.00, 1.00
25.00, 60.00, 60.00, 1.00, 1.00
25.00, 63.00, 62.00, 1.00, 1.00
25.00, 69.00, 65.00, 2.00, 0.00
26.00, 53.00, 56.00, 1.00, 1.00
26.00, 60.00, 60.00, 1.00, 1.00
26.00, 63.00, 62.00, 1.00, 1.00
27.00, 46.00, 52.00, 1.00, 1.00
27.00, 77.00, 70.00, 0.50, 0.00
27.75, 77.00, 70.00, 0.25, 0.00
28.00, 53.00, 56.00, 1.00, 1.00
28.00, 58.00, 59.00, 1.00, 1.00
28.00, 62.00, 61.00, 1.00, 1.00
28.00, 64.00, 62.00, 2.00, 0.00
29.00, 53.00, 56.00, 1.00, 1.00
29.00, 58.00, 59.00, 1.00, 1.00
29.00, 62.00, 61.00, 1.00, 1.00
30.00, 41.00, 49.00, 1.00, 1.00
30.00, 65.00, 63.00, 0.50, 0.00
30.75, 69.00, 65.00, 0.25, 0.00
31.00, 53.00, 56.00, 1.00, 1.00
31.00, 63.00, 62.00, 1.00, 1.00
31.00, 72.00, 67.00, 0.50, 0.00
31.50, 75.00, 69.00, 0.50, 0.00
32.00, 53.00, 56.00, 1.00, 1.00
32.00, 57.00, 58.00, 1.00, 1.00
32.00, 63.00, 62.00, 1.00, 1.00
32.00, 74.00, 68.00, 0.50, 0.00
32.50, 72.00, 67.00, 0.50, 0.00
33.00, 46.00, 52.00, 1.00, 1.00
33.00, 74.00, 68.00, 0.50, 0.00
33.75, 65.00, 63.00, 0.25, 0.00
34.00, 53.00, 56.00, 1.00, 1.00
34.00, 58.00, 59.00, 1.00, 1.00
34.00, 62.00, 61.00, 1.00, 1.00
34.00, 70.00, 66.00, 1.00, 0.00
35.00, 69.00, 65.00, 0.50, 0.00
35.50, 67.00, 64.00, 0.50, 0.00
36.00, 41.00, 49.00, 1.00, 1.00
36.00, 65.00, 63.00, 0.50, 0.00
36.75, 65.00, 63.00, 0.25, 0.00
37.00, 53.00, 56.00, 1.00, 1.00
37.00, 60.00, 60.00, 1.00, 1.00
37.00, 63.00, 62.00, 1.00, 1.00
37.00, 67.00, 64.00, 1.00, 0.00
38.00, 53.00, 56.00, 1.00, 1.00
38.00, 60.00, 60.00, 1.00, 1.00
38.00, 63.00, 62.00, 1.00, 1.00
38.00, 69.00, 65.00, 1.00, 0.00
39.00, 46.00, 52.00, 1.00, 1.00
39.00, 70.00, 66.00, 0.50, 0.00
39.75, 72.00, 67.00, 0.25, 0.00
40.00, 53.00, 56.00, 1.00, 1.00
40.00, 58.00, 59.00, 1.00, 1.00
40.00, 62.00, 61.00, 1.00, 1.00
40.00, 74.00, 68.00, 1.00, 0.00
41.00, 46.00, 52.00, 1.00, 1.00
41.00, 75.00, 69.00, 0.50, 0.00
41.50, 77.00, 70.00, 0.50, 0.00
42.00, 39.00, 48.00, 1.00, 1.00
42.00, 51.00, 55.00, 1.00, 1.00
42.00, 79.00, 71.00, 0.50, 0.00
42.75, 81.00, 72.00, 0.25, 0.00
43.00, 55.00, 57.00, 1.00, 1.00
43.00, 58.00, 59.00, 1.00, 1.00
43.00, 63.00, 62.00, 1.00, 1.00
43.00, 67.00, 64.00, 1.00, 1.00
43.00, 82.00, 73.00, 1.00, 0.00
44.00, 81.00, 72.00, 0.50, 0.00
44.50, 79.00, 71.00, 0.50, 0.00
45.00, 46.00, 52.00, 1.00, 1.00
45.00, 82.00, 73.00, 0.50, 0.00
45.75, 82.00, 73.00, 0.25, 0.00
46.00, 53.00, 56.00, 1.00, 1.00
46.00, 58.00, 59.00, 1.00, 1.00
46.00, 62.00, 61.00, 1.00, 1.00
46.00, 74.00, 68.00, 2.00, 0.00
47.00, 53.00, 56.00, 1.00, 1.00
47.00, 58.00, 59.00, 1.00, 1.00
47.00, 62.00, 61.00, 1.00, 1.00
48.00, 41.00, 49.00, 1.00, 1.00
48.00, 79.00, 71.00, 0.50, 0.00
48.75, 79.00, 71.00, 0.25, 0.00
49.00, 53.00, 56.00, 1.00, 1.00
49.00, 60.00, 60.00, 1.00, 1.00
49.00, 63.00, 62.00, 1.00, 1.00
49.00, 69.00, 65.00, 2.00, 0.00
50.00, 53.00, 56.00, 1.00, 1.00
50.00, 60.00, 60.00, 1.00, 1.00
50.00, 63.00, 62.00, 1.00, 1.00
51.00, 46.00, 52.00, 1.00, 1.00
51.00, 74.00, 68.00, 0.50, 0.00
51.75, 74.00, 68.00, 0.25, 0.00
52.00, 53.00, 56.00, 1.00, 1.00
52.00, 58.00, 59.00, 1.00, 1.00
52.00, 62.00, 61.00, 1.00, 1.00
52.00, 64.00, 62.00, 2.00, 0.00
53.00, 53.00, 56.00, 1.00, 1.00
53.00, 58.00, 59.00, 1.00, 1.00
53.00, 62.00, 61.00, 1.00, 1.00
54.00, 41.00, 49.00, 1.00, 1.00
54.00, 65.00, 63.00, 0.50, 0.00
54.75, 69.00, 65.00, 0.25, 0.00
55.00, 53.00, 56.00, 1.00, 1.00
55.00, 63.00, 62.00, 1.00, 1.00
55.00, 72.00, 67.00, 0.50, 0.00
55.50, 75.00, 69.00, 0.50, 0.00
56.00, 53.00, 56.00, 1.00, 1.00
56.00, 57.00, 58.00, 1.00, 1.00
56.00, 63.00, 62.00, 1.00, 1.00
56.00, 79.00, 71.00, 0.75, 0.00
56.75, 77.00, 70.00, 0.25, 0.00
57.00, 46.00, 52.00, 1.00, 1.00
57.00, 86.00, 75.00, 0.50, 0.00
57.75, 84.00, 74.00, 0.25, 0.00
58.00, 53.00, 56.00, 1.00, 1.00
58.00, 58.00, 59.00, 1.00, 1.00
58.00, 62.00, 61.00, 1.00, 1.00
58.00, 82.00, 73.00, 0.50, 0.00
58.50, 79.00, 71.00, 0.50, 0.00
59.00, 53.00, 56.00, 1.00, 1.00
59.00, 58.00, 59.00, 1.00, 1.00
59.00, 62.00, 61.00, 1.00, 1.00
59.00, 77.00, 70.00, 1.00, 0.00
60.00, 46.00, 52.00, 1.00, 1.00
60.00, 82.00, 73.00, 0.50, 0.00
60.75, 82.00, 73.00, 0.25, 0.00
61.00, 53.00, 56.00, 1.00, 1.00
61.00, 60.00, 60.00, 1.00, 1.00
61.00, 63.00, 62.00, 1.00, 1.00
61.00, 69.00, 65.00, 2.00, 0.00
62.00, 53.00, 56.00, 1.00, 1.00
62.00, 60.00, 60.00, 1.00, 1.00
62.00, 63.00, 62.00, 1.00, 1.00
63.00, 46.00, 52.00, 1.00, 1.00
63.00, 77.00, 70.00, 0.50, 0.00
63.75, 77.00, 70.00, 0.25, 0.00
64.00, 53.00, 56.00, 1.00, 1.00
64.00, 58.00, 59.00, 1.00, 1.00
64.00, 62.00, 61.00, 1.00, 1.00
64.00, 64.00, 62.00, 2.00, 0.00
65.00, 53.00, 56.00, 1.00, 1.00
65.00, 58.00, 59.00, 1.00, 1.00
65.00, 62.00, 61.00, 1.00, 1.00
66.00, 41.00, 49.00, 1.00, 1.00
66.00, 65.00, 63.00, 0.50, 0.00
66.75, 69.00, 65.00, 0.25, 0.00
67.00, 53.00, 56.00, 1.00, 1.00
67.00, 63.00, 62.00, 1.00, 1.00
67.00, 72.00, 67.00, 0.50, 0.00
67.50, 75.00, 69.00, 0.50, 0.00
68.00, 53.00, 56.00, 1.00, 1.00
68.00, 57.00, 58.00, 1.00, 1.00
68.00, 63.00, 62.00, 1.00, 1.00
68.00, 74.00, 68.00, 0.50, 0.00
68.50, 72.00, 67.00, 0.50, 0.00
69.00, 46.00, 52.00, 1.00, 1.00
69.00, 74.00, 68.00, 0.50, 0.00
69.75, 65.00, 63.00, 0.25, 0.00
70.00, 53.00, 56.00, 1.00, 1.00
70.00, 58.00, 59.00, 1.00, 1.00
70.00, 62.00, 61.00, 1.00, 1.00
70.00, 70.00, 66.00, 1.00, 0.00
71.00, 69.00, 65.00, 0.50, 0.00
71.50, 70.00, 66.00, 0.50, 0.00
72.00, 41.00, 49.00, 1.00, 1.00
72.00, 72.00, 67.00, 0.75, 0.00
72.75, 74.00, 68.00, 0.25, 0.00
73.00, 48.00, 53.00, 1.00, 1.00
73.00, 57.00, 58.00, 1.00, 1.00
73.00, 72.00, 67.00, 1.00, 0.00
74.00, 48.00, 53.00, 1.00, 1.00
74.00, 57.00, 58.00, 1.00, 1.00
74.00, 76.00, 69.00, 0.50, 0.00
74.50, 77.00, 70.00, 0.50, 0.00
75.00, 41.00, 49.00, 1.00, 1.00
75.00, 79.00, 71.00, 0.75, 0.00
75.75, 81.00, 72.00, 0.25, 0.00
76.00, 50.00, 54.00, 1.00, 1.00
76.00, 58.00, 59.00, 1.00, 1.00
76.00, 79.00, 71.00, 1.00, 0.00
77.00, 50.00, 54.00, 1.00, 1.00
77.00, 58.00, 59.00, 1.00, 1.00
77.00, 77.00, 70.00, 0.50, 0.00
77.50, 74.00, 68.00, 0.50, 0.00
78.00, 41.00, 49.00, 1.00, 1.00
78.00, 72.00, 67.00, 0.50, 0.00
78.50, 74.00, 68.00, 0.50, 0.00
79.00, 48.00, 53.00, 1.00, 1.00
79.00, 57.00, 58.00, 1.00, 1.00
79.00, 72.00, 67.00, 1.00, 0.00
80.00, 48.00, 53.00, 1.00, 1.00
80.00, 57.00, 58.00, 1.00, 1.00
80.00, 76.00, 69.00, 0.50, 0.00
80.75, 77.00, 70.00, 0.25, 0.00
81.00, 41.00, 49.00, 1.00, 1.00
81.00, 79.00, 71.00, 0.33, 0.00
81.33, 81.00, 72.00, 0.33, 0.00
81.67, 79.00, 71.00, 0.33, 0.00
82.00, 50.00, 54.00, 1.00, 1.00
82.00, 58.00, 59.00, 1.00, 1.00
82.00, 77.00, 70.00, 1.50, 0.00
83.00, 41.00, 49.00, 1.00, 1.00
83.50, 74.00, 68.00, 0.50, 0.00
84.00, 48.00, 53.00, 1.00, 1.00
84.00, 57.00, 58.00, 1.00, 1.00
84.00, 72.00, 67.00, 0.50, 0.00
84.50, 74.00, 68.00, 0.50, 0.00
85.00, 41.00, 49.00, 1.00, 1.00
85.00, 72.00, 67.00, 1.00, 0.00
86.00, 48.00, 53.00, 1.00, 1.00
86.00, 57.00, 58.00, 1.00, 1.00
86.00, 76.00, 69.00, 0.50, 0.00
86.50, 77.00, 70.00, 0.50, 0.00
87.00, 41.00, 49.00, 1.00, 1.00
87.00, 79.00, 71.00, 0.50, 0.00
87.50, 81.00, 72.00, 0.50, 0.00
88.00, 50.00, 54.00, 1.00, 1.00
88.00, 58.00, 59.00, 1.00, 1.00
88.00, 79.00, 71.00, 1.00, 0.00
89.00, 41.00, 49.00, 1.00, 1.00
89.00, 77.00, 70.00, 0.50, 0.00
89.50, 74.00, 68.00, 0.50, 0.00
90.00, 48.00, 53.00, 1.00, 1.00
90.00, 57.00, 58.00, 1.00, 1.00
90.00, 72.00, 67.00, 0.50, 0.00
90.50, 74.00, 68.00, 0.50, 0.00
91.00, 41.00, 49.00, 1.00, 1.00
