ontime, MNN, MPN, duration, channel
0.00, 35.00, 45.00, 1.00, 1.00
0.00, 47.00, 52.00, 1.00, 1.00
0.00, 54.00, 56.00, 1.00, 1.00
0.00, 61.00, 60.00, 0.50, 0.00
0.00, 64.00, 62.00, 0.50, 0.00
0.50, 59.00, 59.00, 0.50, 0.00
0.50, 63.00, 61.00, 0.50, 0.00
1.00, 35.00, 45.00, 2.00, 1.00
1.00, 47.00, 52.00, 2.00, 1.00
1.00, 54.00, 56.00, 2.00, 1.00
1.00, 59.00, 59.00, 2.00, 0.00
1.00, 63.00, 61.00, 2.00, 0.00
3.00, 35.00, 45.00, 1.00, 1.00
3.00, 47.00, 52.00, 1.00, 1.00
3.00, 54.00, 56.00, 1.00, 1.00
3.00, 61.00, 60.00, 0.50, 0.00
3.00, 64.00, 62.00, 0.50, 0.00
3.50, 59.00, 59.00, 0.50, 0.00
3.50, 63.00, 61.00, 0.50, 0.00
4.00, 35.00, 45.00, 2.00, 1.00
4.00, 47.00, 52.00, 2.00, 1.00
4.00, 54.00, 56.00, 2.00, 1.00
4.00, 59.00, 59.00, 2.00, 0.00
4.00, 63.00, 61.00, 2.00, 0.00
6.00, 35.00, 45.00, 1.00, 1.00
6.00, 47.00, 52.00, 1.00, 1.00
6.00, 54.00, 56.00, 1.00, 1.00
6.00, 61.00, 60.00, 0.50, 0.00
6.00, 64.00, 62.00, 0.50, 0.00
6.50, 59.00, 59.00, 0.50, 0.00
6.50, 63.00, 61.00, 0.50, 0.00
7.00, 35.00, 45.00, 2.00, 1.00
7.00, 47.00, 52.00, 2.00, 1.00
7.00, 54.00, 56.00, 2.00, 1.00
7.00, 59.00, 59.00, 2.00, 0.00
7.00, 63.00, 61.00, 2.00, 0.00
9.00, 35.00, 45.00, 1.00, 1.00
9.00, 47.00, 52.00, 1.00, 1.00
9.00, 54.00, 56.00, 1.00, 1.00
9.00, 61.00, 60.00, 0.50, 0.00
9.00, 64.00, 62.00, 0.50, 0.00
9.50, 59.00, 59.00, 0.50, 0.00
9.50, 63.00, 61.00, 0.50, 0.00
10.00, 35.00, 45.00, 2.00, 1.00
10.00, 47.00, 52.00, 3.00, 1.00
10.00, 54.00, 56.00, 3.00, 1.00
10.00, 59.00, 59.00, 3.00, 0.00
10.00, 63.00, 61.00, 3.00, 0.00
12.00, 35.00, 45.00, 1.00, 1.00
13.00, 49.00, 53.00, 0.50, 1.00
13.00, 61.00, 60.00, 0.50, 0.00
13.50, 47.00, 52.00, 0.50, 1.00
13.50, 59.00, 59.00, 0.50, 0.00
14.00, 52.00, 55.00, 0.50, 1.00
14.00, 64.00, 62.00, 0.50, 0.00
14.50, 54.00, 56.00, 0.50, 1.00
14.50, 66.00, 63.00, 0.50, 0.00
15.00, 56.00, 57.00, 0.50, 1.00
15.00, 68.00, 64.00, 0.50, 0.00
15.50, 51.00, 54.00, 0.50, 1.00
15.50, 63.00, 61.00, 0.50, 0.00
16.00, 52.00, 55.00, 0.50, 1.00
16.00, 64.00, 62.00, 0.50, 0.00
16.50, 56.00, 57.00, 0.50, 1.00
16.50, 68.00, 64.00, 0.50, 0.00
