ontime, MNN, MPN, duration, channel
0.00, 72.00, 67.00, 1.50, 0.00
1.00, 56.00, 58.00, 1.00, 1.00
1.00, 60.00, 60.00, 1.00, 1.00
1.00, 65.00, 63.00, 1.00, 1.00
1.50, 73.00, 68.00, 0.50, 0.00
2.00, 56.00, 58.00, 1.00, 1.00
2.00, 60.00, 60.00, 1.00, 1.00
2.00, 65.00, 63.00, 1.00, 1.00
2.00, 73.00, 68.00, 0.50, 0.00
2.50, 72.00, 67.00, 0.50, 0.00
3.00, 71.00, 66.00, 0.50, 0.00
3.50, 70.00, 65.00, 0.50, 0.00
4.00, 55.00, 57.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
4.00, 65.00, 63.00, 1.00, 1.00
4.00, 71.00, 66.00, 1.00, 0.00
5.00, 55.00, 57.00, 1.00, 1.00
5.00, 61.00, 61.00, 1.00, 1.00
5.00, 65.00, 63.00, 1.00, 1.00
5.00, 79.00, 71.00, 1.00, 0.00
6.00, 70.00, 66.00, 1.50, 0.00
7.00, 54.00, 57.00, 1.00, 1.00
7.00, 61.00, 61.00, 1.00, 1.00
7.00, 64.00, 63.00, 1.00, 1.00
7.50, 72.00, 67.00, 0.50, 0.00
8.00, 54.00, 57.00, 1.00, 1.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 63.00, 62.00, 1.00, 1.00
8.00, 72.00, 67.00, 0.50, 0.00
8.50, 70.00, 66.00, 0.50, 0.00
9.00, 69.00, 65.00, 0.50, 0.00
9.50, 68.00, 64.00, 0.50, 0.00
10.00, 53.00, 56.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 63.00, 62.00, 1.00, 1.00
10.00, 69.00, 65.00, 1.00, 0.00
11.00, 53.00, 56.00, 1.00, 1.00
11.00, 59.00, 60.00, 1.00, 1.00
11.00, 63.00, 62.00, 1.00, 1.00
11.00, 77.00, 70.00, 1.00, 0.00
12.00, 68.00, 65.00, 1.50, 0.00
