ontime, MNN, MPN, duration, channel
-1.00, 71.00, 66.00, 1.00, 0.00
0.00, 40.00, 48.00, 1.00, 1.00
0.00, 69.00, 65.00, 0.75, 0.00
0.75, 67.00, 64.00, 0.25, 0.00
1.00, 55.00, 57.00, 1.00, 1.00
1.00, 59.00, 59.00, 1.00, 1.00
1.00, 66.00, 63.00, 1.00, 0.00
2.00, 55.00, 57.00, 1.00, 1.00
2.00, 59.00, 59.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 0.00
3.00, 45.00, 51.00, 1.00, 1.00
3.00, 74.00, 68.00, 2.00, 0.00
4.00, 57.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 1.00, 1.00
4.00, 64.00, 62.00, 1.00, 1.00
5.00, 57.00, 58.00, 1.00, 1.00
5.00, 60.00, 60.00, 1.00, 1.00
5.00, 64.00, 62.00, 1.00, 1.00
5.00, 72.00, 67.00, 1.00, 0.00
6.00, 50.00, 54.00, 3.00, 1.00
6.00, 60.00, 60.00, 1.00, 1.00
6.00, 64.00, 62.00, 1.00, 1.00
6.00, 71.00, 66.00, 0.75, 0.00
6.75, 69.00, 65.00, 0.25, 0.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 62.00, 61.00, 1.00, 1.00
7.00, 64.00, 62.00, 0.50, 0.00
7.50, 66.00, 63.00, 0.50, 0.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 0.00
9.00, 43.00, 50.00, 1.00, 1.00
9.00, 67.00, 64.00, 2.00, 0.00
9.00, 72.00, 67.00, 2.00, 0.00
10.00, 55.00, 57.00, 1.00, 1.00
10.00, 62.00, 61.00, 1.00, 1.00
11.00, 71.00, 66.00, 1.50, 0.00
12.00, 47.00, 52.00, 1.00, 1.00
12.75, 71.00, 66.00, 0.25, 0.00
12.75, 72.00, 67.00, 0.25, 0.00
13.00, 59.00, 59.00, 1.00, 1.00
13.00, 66.00, 63.00, 1.00, 1.00
13.00, 69.00, 65.00, 1.00, 1.00
13.00, 71.00, 66.00, 0.50, 0.00
13.00, 73.00, 67.00, 0.50, 0.00
13.50, 71.00, 66.00, 0.50, 0.00
13.50, 74.00, 68.00, 0.50, 0.00
14.00, 59.00, 59.00, 1.00, 1.00
14.00, 66.00, 63.00, 1.00, 1.00
14.00, 69.00, 65.00, 1.00, 1.00
14.00, 71.00, 66.00, 1.50, 0.00
14.00, 75.00, 68.00, 1.00, 0.00
15.00, 52.00, 55.00, 1.00, 1.00
15.00, 76.00, 69.00, 0.50, 0.00
15.75, 78.00, 70.00, 0.25, 0.00
16.00, 59.00, 59.00, 1.00, 1.00
16.00, 67.00, 64.00, 1.00, 1.00
16.00, 79.00, 71.00, 0.50, 0.00
16.50, 84.00, 74.00, 0.50, 0.00
17.00, 59.00, 59.00, 1.00, 1.00
17.00, 67.00, 64.00, 1.00, 1.00
17.00, 83.00, 73.00, 1.00, 0.00
18.00, 52.00, 55.00, 3.00, 1.00
18.00, 82.00, 72.00, 0.50, 0.00
18.75, 78.00, 70.00, 0.25, 0.00
19.00, 58.00, 58.00, 1.00, 1.00
19.00, 61.00, 60.00, 1.00, 1.00
19.00, 66.00, 63.00, 1.00, 1.00
19.00, 82.00, 72.00, 0.50, 0.00
19.75, 81.00, 72.00, 0.25, 0.00
20.00, 57.00, 58.00, 1.00, 1.00
20.00, 60.00, 60.00, 1.00, 1.00
20.00, 66.00, 63.00, 1.00, 1.00
20.00, 78.00, 70.00, 1.00, 0.00
21.00, 52.00, 55.00, 3.00, 1.00
21.00, 81.00, 72.00, 0.50, 0.00
21.75, 78.00, 70.00, 0.25, 0.00
22.00, 57.00, 58.00, 1.00, 1.00
22.00, 63.00, 61.00, 1.00, 1.00
22.00, 81.00, 72.00, 0.50, 0.00
22.75, 79.00, 71.00, 0.25, 0.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 1.00
23.00, 76.00, 69.00, 1.00, 0.00
24.00, 47.00, 52.00, 1.00, 1.00
24.00, 71.00, 66.00, 0.50, 0.00
24.75, 72.00, 67.00, 0.25, 0.00
25.00, 59.00, 59.00, 1.00, 1.00
25.00, 66.00, 63.00, 1.00, 1.00
25.00, 69.00, 65.00, 1.00, 1.00
25.00, 71.00, 66.00, 0.50, 0.00
25.00, 73.00, 67.00, 0.50, 0.00
25.50, 71.00, 66.00, 0.50, 0.00
25.50, 74.00, 68.00, 0.50, 0.00
26.00, 59.00, 59.00, 1.00, 1.00
26.00, 66.00, 63.00, 1.00, 1.00
26.00, 69.00, 65.00, 1.00, 1.00
26.00, 71.00, 66.00, 1.00, 0.00
26.00, 75.00, 68.00, 1.00, 0.00
27.00, 52.00, 55.00, 1.00, 1.00
27.00, 76.00, 69.00, 0.25, 0.00
27.25, 91.00, 78.00, 0.50, 0.00
28.00, 59.00, 59.00, 1.00, 1.00
28.00, 67.00, 64.00, 1.00, 1.00
28.00, 90.00, 77.00, 0.50, 0.00
28.50, 88.00, 76.00, 0.50, 0.00
29.00, 84.00, 74.00, 0.50, 0.00
29.50, 83.00, 73.00, 0.50, 0.00
30.00, 42.00, 49.00, 1.00, 1.00
30.00, 82.00, 72.00, 0.50, 0.00
30.50, 85.00, 74.00, 0.50, 0.00
31.00, 54.00, 56.00, 1.00, 1.00
31.00, 61.00, 60.00, 1.00, 1.00
31.00, 64.00, 62.00, 1.00, 1.00
31.00, 83.00, 73.00, 0.50, 0.00
31.00, 87.00, 75.00, 0.50, 0.00
31.50, 80.00, 71.00, 0.50, 0.00
32.00, 54.00, 56.00, 1.00, 1.00
32.00, 61.00, 60.00, 1.00, 1.00
32.00, 64.00, 62.00, 1.00, 1.00
32.00, 76.00, 69.00, 0.50, 0.00
32.75, 78.00, 70.00, 0.25, 0.00
32.75, 82.00, 72.00, 0.25, 0.00
33.00, 47.00, 52.00, 1.00, 1.00
33.00, 75.00, 68.00, 2.00, 0.00
33.00, 83.00, 73.00, 2.00, 0.00
34.00, 59.00, 59.00, 1.00, 1.00
34.00, 66.00, 63.00, 1.00, 1.00
35.00, 71.00, 66.00, 1.00, 0.00
36.00, 40.00, 48.00, 1.00, 1.00
36.00, 69.00, 65.00, 0.75, 0.00
36.75, 67.00, 64.00, 0.25, 0.00
37.00, 55.00, 57.00, 1.00, 1.00
37.00, 59.00, 59.00, 1.00, 1.00
37.00, 66.00, 63.00, 1.00, 0.00
38.00, 55.00, 57.00, 1.00, 1.00
38.00, 59.00, 59.00, 1.00, 1.00
38.00, 64.00, 62.00, 1.00, 0.00
39.00, 45.00, 51.00, 1.00, 1.00
39.00, 74.00, 68.00, 2.00, 0.00
40.00, 57.00, 58.00, 1.00, 1.00
40.00, 60.00, 60.00, 1.00, 1.00
40.00, 64.00, 62.00, 1.00, 1.00
41.00, 57.00, 58.00, 1.00, 1.00
41.00, 60.00, 60.00, 1.00, 1.00
41.00, 64.00, 62.00, 1.00, 1.00
41.00, 72.00, 67.00, 1.00, 0.00
42.00, 50.00, 54.00, 3.00, 1.00
42.00, 60.00, 60.00, 1.00, 1.00
42.00, 64.00, 62.00, 1.00, 1.00
42.00, 71.00, 66.00, 0.75, 0.00
42.75, 69.00, 65.00, 0.25, 0.00
43.00, 59.00, 59.00, 1.00, 1.00
43.00, 62.00, 61.00, 1.00, 1.00
43.00, 64.00, 62.00, 0.50, 0.00
43.50, 66.00, 63.00, 0.50, 0.00
44.00, 57.00, 58.00, 1.00, 1.00
44.00, 60.00, 60.00, 1.00, 1.00
44.00, 62.00, 61.00, 1.00, 0.00
45.00, 43.00, 50.00, 1.00, 1.00
45.00, 67.00, 64.00, 2.00, 0.00
45.00, 72.00, 67.00, 2.00, 0.00
46.00, 55.00, 57.00, 1.00, 1.00
46.00, 62.00, 61.00, 1.00, 1.00
47.00, 71.00, 66.00, 1.50, 0.00
48.00, 47.00, 52.00, 1.00, 1.00
48.75, 71.00, 66.00, 0.25, 0.00
48.75, 72.00, 67.00, 0.25, 0.00
49.00, 59.00, 59.00, 1.00, 1.00
49.00, 66.00, 63.00, 1.00, 1.00
49.00, 69.00, 65.00, 1.00, 1.00
49.00, 71.00, 66.00, 0.50, 0.00
49.00, 73.00, 67.00, 0.50, 0.00
49.50, 71.00, 66.00, 0.50, 0.00
49.50, 74.00, 68.00, 0.50, 0.00
50.00, 59.00, 59.00, 1.00, 1.00
50.00, 66.00, 63.00, 1.00, 1.00
50.00, 69.00, 65.00, 1.00, 1.00
50.00, 71.00, 66.00, 1.50, 0.00
50.00, 75.00, 68.00, 1.00, 0.00
51.00, 52.00, 55.00, 1.00, 1.00
51.00, 76.00, 69.00, 0.50, 0.00
51.75, 78.00, 70.00, 0.25, 0.00
52.00, 59.00, 59.00, 1.00, 1.00
52.00, 67.00, 64.00, 1.00, 1.00
52.00, 79.00, 71.00, 0.50, 0.00
52.50, 84.00, 74.00, 0.50, 0.00
53.00, 59.00, 59.00, 1.00, 1.00
53.00, 67.00, 64.00, 1.00, 1.00
53.00, 83.00, 73.00, 1.00, 0.00
54.00, 52.00, 55.00, 3.00, 1.00
54.00, 82.00, 72.00, 0.50, 0.00
54.75, 78.00, 70.00, 0.25, 0.00
55.00, 58.00, 58.00, 1.00, 1.00
55.00, 61.00, 60.00, 1.00, 1.00
55.00, 66.00, 63.00, 1.00, 1.00
55.00, 82.00, 72.00, 0.50, 0.00
55.75, 81.00, 72.00, 0.25, 0.00
56.00, 57.00, 58.00, 1.00, 1.00
56.00, 60.00, 60.00, 1.00, 1.00
56.00, 66.00, 63.00, 1.00, 1.00
56.00, 78.00, 70.00, 1.00, 0.00
57.00, 52.00, 55.00, 3.00, 1.00
57.00, 81.00, 72.00, 0.50, 0.00
57.75, 78.00, 70.00, 0.25, 0.00
58.00, 57.00, 58.00, 1.00, 1.00
58.00, 63.00, 61.00, 1.00, 1.00
58.00, 81.00, 72.00, 0.50, 0.00
58.75, 79.00, 71.00, 0.25, 0.00
59.00, 55.00, 57.00, 1.00, 1.00
59.00, 64.00, 62.00, 1.00, 1.00
59.00, 76.00, 69.00, 1.00, 0.00
60.00, 47.00, 52.00, 1.00, 1.00
60.00, 71.00, 66.00, 0.50, 0.00
60.75, 71.00, 66.00, 0.25, 0.00
60.75, 72.00, 67.00, 0.25, 0.00
61.00, 59.00, 59.00, 1.00, 1.00
61.00, 66.00, 63.00, 1.00, 1.00
61.00, 69.00, 65.00, 1.00, 1.00
61.00, 71.00, 66.00, 0.50, 0.00
61.00, 73.00, 67.00, 0.50, 0.00
61.50, 71.00, 66.00, 0.50, 0.00
61.50, 74.00, 68.00, 0.50, 0.00
62.00, 59.00, 59.00, 1.00, 1.00
62.00, 66.00, 63.00, 1.00, 1.00
62.00, 69.00, 65.00, 1.00, 1.00
62.00, 71.00, 66.00, 1.00, 0.00
62.00, 75.00, 68.00, 1.00, 0.00
63.00, 52.00, 55.00, 1.00, 1.00
63.00, 76.00, 69.00, 0.25, 0.00
63.25, 91.00, 78.00, 0.50, 0.00
64.00, 59.00, 59.00, 1.00, 1.00
64.00, 67.00, 64.00, 1.00, 1.00
64.00, 90.00, 77.00, 0.50, 0.00
64.50, 88.00, 76.00, 0.50, 0.00
65.00, 84.00, 74.00, 0.50, 0.00
65.50, 83.00, 73.00, 0.50, 0.00
66.00, 47.00, 52.00, 1.00, 1.00
66.00, 82.00, 72.00, 0.50, 0.00
66.50, 78.00, 70.00, 0.50, 0.00
67.00, 59.00, 59.00, 1.00, 1.00
67.00, 63.00, 61.00, 1.00, 1.00
67.00, 69.00, 65.00, 1.00, 1.00
67.00, 84.00, 74.00, 0.33, 0.00
67.33, 82.00, 72.00, 0.33, 0.00
67.67, 83.00, 73.00, 0.33, 0.00
68.00, 59.00, 59.00, 1.00, 1.00
68.00, 63.00, 61.00, 1.00, 1.00
68.00, 69.00, 65.00, 1.00, 1.00
68.00, 81.00, 72.00, 0.33, 0.00
68.33, 82.00, 73.00, 0.33, 0.00
68.67, 80.00, 71.00, 0.33, 0.00
69.00, 52.00, 55.00, 1.00, 1.00
69.00, 81.00, 72.00, 0.33, 0.00
69.33, 79.00, 71.00, 0.33, 0.00
69.67, 78.00, 70.00, 0.33, 0.00
70.00, 55.00, 57.00, 2.00, 1.00
70.00, 59.00, 59.00, 2.00, 1.00
70.00, 67.00, 64.00, 2.00, 1.00
70.00, 76.00, 69.00, 2.50, 0.00
72.00, 43.00, 50.00, 1.00, 1.00
72.00, 65.00, 63.00, 1.00, 0.00
72.50, 74.00, 68.00, 0.50, 0.00
73.00, 55.00, 57.00, 1.00, 1.00
73.00, 62.00, 61.00, 1.00, 1.00
73.00, 65.00, 63.00, 1.00, 0.00
73.00, 71.00, 66.00, 1.00, 0.00
74.00, 55.00, 57.00, 2.00, 1.00
74.00, 62.00, 61.00, 1.00, 1.00
74.00, 65.00, 63.00, 1.00, 0.00
74.00, 69.00, 65.00, 1.00, 0.00
75.00, 48.00, 53.00, 1.00, 1.00
75.00, 64.00, 62.00, 1.00, 0.00
75.00, 67.00, 64.00, 2.00, 0.00
76.00, 48.00, 53.00, 1.00, 1.00
76.00, 55.00, 57.00, 1.00, 1.00
76.00, 64.00, 62.00, 1.00, 0.00
77.00, 48.00, 53.00, 2.00, 1.00
77.00, 55.00, 57.00, 1.00, 1.00
77.00, 64.00, 62.00, 1.00, 0.00
77.00, 76.00, 69.00, 1.50, 0.00
78.00, 55.00, 57.00, 1.00, 1.00
78.00, 65.00, 63.00, 1.00, 0.00
78.50, 74.00, 68.00, 0.50, 0.00
79.00, 48.00, 53.00, 1.00, 1.00
79.00, 55.00, 57.00, 1.00, 1.00
79.00, 65.00, 63.00, 1.00, 0.00
79.00, 71.00, 66.00, 1.00, 0.00
80.00, 48.00, 53.00, 1.00, 1.00
80.00, 55.00, 57.00, 1.00, 1.00
80.00, 65.00, 63.00, 1.00, 0.00
80.00, 69.00, 65.00, 1.00, 0.00
81.00, 48.00, 53.00, 1.00, 1.00
81.00, 55.00, 57.00, 1.00, 1.00
81.00, 64.00, 62.00, 1.00, 0.00
81.00, 67.00, 64.00, 2.00, 0.00
82.00, 48.00, 53.00, 1.00, 1.00
82.00, 55.00, 57.00, 1.00, 1.00
82.00, 64.00, 62.00, 1.00, 0.00
83.00, 48.00, 53.00, 1.00, 1.00
83.00, 57.00, 58.00, 3.00, 1.00
83.00, 64.00, 62.00, 1.00, 0.00
83.00, 72.00, 67.00, 1.00, 0.00
84.00, 50.00, 54.00, 1.00, 1.00
84.00, 65.00, 63.00, 1.00, 0.00
84.00, 72.00, 67.00, 0.75, 0.00
84.75, 71.00, 66.00, 0.25, 0.00
85.00, 45.00, 51.00, 2.00, 1.00
85.00, 52.00, 55.00, 2.00, 1.00
85.00, 64.00, 62.00, 2.00, 0.00
85.00, 74.00, 68.00, 0.50, 0.00
85.50, 72.00, 67.00, 0.50, 0.00
86.00, 60.00, 60.00, 1.00, 1.00
86.00, 69.00, 65.00, 1.00, 0.00
87.00, 50.00, 54.00, 1.00, 1.00
87.00, 57.00, 58.00, 2.00, 1.00
87.00, 65.00, 63.00, 1.00, 0.00
87.00, 72.00, 67.00, 0.75, 0.00
87.75, 71.00, 66.00, 0.25, 0.00
88.00, 45.00, 51.00, 2.00, 1.00
88.00, 52.00, 55.00, 2.00, 1.00
88.00, 64.00, 62.00, 2.00, 0.00
88.00, 74.00, 68.00, 0.50, 0.00
88.50, 72.00, 67.00, 0.50, 0.00
89.00, 60.00, 60.00, 1.00, 1.00
89.00, 69.00, 65.00, 1.00, 0.00
90.00, 47.00, 52.00, 2.00, 1.00
