ontime, MNN, MPN, duration, channel
-1.00, 65.00, 63.00, 1.00, 0.00
0.00, 34.00, 45.00, 1.00, 1.00
0.00, 46.00, 52.00, 1.00, 1.00
0.00, 74.00, 68.00, 1.50, 0.00
0.00, 77.00, 70.00, 1.50, 0.00
1.00, 53.00, 56.00, 1.00, 1.00
1.00, 58.00, 59.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 1.00
1.50, 73.00, 67.00, 0.50, 0.00
1.50, 76.00, 69.00, 0.50, 0.00
2.00, 53.00, 56.00, 1.00, 1.00
2.00, 58.00, 59.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 74.00, 68.00, 0.50, 0.00
2.00, 77.00, 70.00, 0.50, 0.00
2.50, 73.00, 67.00, 0.50, 0.00
2.50, 76.00, 69.00, 0.50, 0.00
3.00, 46.00, 52.00, 1.00, 1.00
3.00, 74.00, 68.00, 0.50, 0.00
3.00, 77.00, 70.00, 0.50, 0.00
3.75, 70.00, 66.00, 0.25, 0.00
4.00, 51.00, 55.00, 1.00, 1.00
4.00, 58.00, 59.00, 1.00, 1.00
4.00, 67.00, 64.00, 1.00, 0.00
4.00, 75.00, 69.00, 1.00, 0.00
5.00, 46.00, 52.00, 1.00, 1.00
5.00, 58.00, 59.00, 1.00, 1.00
5.00, 65.00, 63.00, 1.00, 0.00
5.00, 74.00, 68.00, 1.00, 0.00
6.00, 29.00, 42.00, 1.00, 1.00
6.00, 41.00, 49.00, 1.00, 1.00
6.00, 63.00, 62.00, 1.50, 0.00
6.00, 72.00, 67.00, 1.50, 0.00
7.00, 53.00, 56.00, 1.00, 1.00
7.00, 57.00, 58.00, 1.00, 1.00
7.50, 67.00, 64.00, 0.50, 0.00
7.50, 75.00, 69.00, 0.50, 0.00
8.00, 65.00, 63.00, 0.50, 0.00
8.00, 74.00, 68.00, 0.50, 0.00
8.50, 63.00, 62.00, 0.50, 0.00
8.50, 72.00, 67.00, 0.50, 0.00
9.00, 34.00, 45.00, 1.00, 1.00
9.00, 46.00, 52.00, 1.00, 1.00
9.00, 65.00, 63.00, 0.50, 0.00
9.00, 74.00, 68.00, 0.50, 0.00
9.75, 65.00, 63.00, 0.25, 0.00
10.00, 46.00, 52.00, 1.00, 1.00
