ontime, MNN, MPN, duration, channel
-0.50, 63.00, 62.00, 0.50, 0.00
0.00, 56.00, 58.00, 1.00, 1.00
0.00, 60.00, 60.00, 1.00, 1.00
0.00, 63.00, 62.00, 1.00, 1.00
0.00, 68.00, 65.00, 0.33, 0.00
0.33, 70.00, 66.00, 0.33, 0.00
0.67, 68.00, 65.00, 0.33, 0.00
1.00, 56.00, 58.00, 1.00, 1.00
1.00, 61.00, 61.00, 1.00, 1.00
1.00, 64.00, 63.00, 1.00, 1.00
1.00, 67.00, 64.00, 0.50, 0.00
1.50, 68.00, 65.00, 0.50, 0.00
2.00, 56.00, 58.00, 1.00, 1.00
2.00, 61.00, 61.00, 1.00, 1.00
2.00, 64.00, 63.00, 1.00, 1.00
2.00, 70.00, 66.00, 0.50, 0.00
2.50, 72.00, 67.00, 0.50, 0.00
3.00, 55.00, 57.00, 1.00, 1.00
3.00, 58.00, 59.00, 1.00, 1.00
3.00, 64.00, 63.00, 1.00, 1.00
3.00, 73.00, 68.00, 0.33, 0.00
3.33, 75.00, 69.00, 0.33, 0.00
3.67, 73.00, 68.00, 0.33, 0.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 1.00, 1.00
4.00, 63.00, 62.00, 1.00, 1.00
4.00, 72.00, 67.00, 0.50, 0.00
4.50, 73.00, 68.00, 0.50, 0.00
5.00, 55.00, 57.00, 1.00, 1.00
5.00, 58.00, 59.00, 1.00, 1.00
5.00, 63.00, 62.00, 1.00, 1.00
5.00, 75.00, 69.00, 1.00, 0.00
6.00, 53.00, 56.00, 0.50, 1.00
6.00, 56.00, 58.00, 0.50, 1.00
6.00, 61.00, 61.00, 0.50, 1.00
6.00, 65.00, 63.00, 0.50, 1.00
6.00, 80.00, 72.00, 0.50, 0.00
6.75, 73.00, 68.00, 0.25, 0.00
7.00, 51.00, 55.00, 1.00, 1.00
7.00, 56.00, 58.00, 1.00, 1.00
7.00, 63.00, 62.00, 1.00, 1.00
7.00, 72.00, 67.00, 0.50, 0.00
7.50, 75.00, 69.00, 0.50, 0.00
8.00, 51.00, 55.00, 1.00, 1.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 63.00, 62.00, 1.00, 1.00
8.00, 68.00, 65.00, 0.50, 0.00
