ontime, MNN, MPN, duration, channel
0.00, 52.00, 55.00, 1.50, 1.00
0.00, 61.00, 60.00, 7.50, 0.00
0.00, 67.00, 63.00, 6.00, 0.00
1.50, 51.00, 54.00, 0.50, 1.00
2.00, 52.00, 55.00, 0.75, 1.00
2.75, 51.00, 54.00, 0.25, 1.00
3.00, 52.00, 55.00, 0.75, 1.00
3.75, 51.00, 54.00, 0.25, 1.00
4.00, 52.00, 55.00, 1.00, 1.00
5.00, 51.00, 54.00, 1.00, 1.00
6.00, 45.00, 51.00, 1.50, 1.00
6.00, 63.00, 61.00, 6.00, 0.00
6.00, 66.00, 63.00, 6.00, 0.00
7.50, 44.00, 50.00, 0.50, 1.00
7.50, 60.00, 59.00, 0.50, 0.00
8.00, 45.00, 51.00, 0.75, 1.00
8.00, 61.00, 60.00, 0.75, 0.00
8.75, 44.00, 50.00, 0.25, 1.00
8.75, 60.00, 59.00, 0.25, 0.00
9.00, 45.00, 51.00, 0.75, 1.00
9.00, 61.00, 60.00, 0.75, 0.00
9.75, 44.00, 50.00, 0.25, 1.00
9.75, 60.00, 59.00, 0.25, 0.00
10.00, 45.00, 51.00, 1.00, 1.00
10.00, 61.00, 60.00, 1.00, 0.00
11.00, 44.00, 50.00, 1.00, 1.00
11.00, 60.00, 59.00, 1.00, 0.00
12.00, 37.00, 46.00, 1.00, 1.00
12.00, 44.00, 50.00, 1.00, 1.00
12.00, 52.00, 55.00, 1.00, 1.00
12.00, 61.00, 60.00, 0.50, 0.00
12.00, 64.00, 62.00, 0.50, 0.00
12.50, 66.00, 63.00, 0.50, 0.00
12.50, 69.00, 65.00, 0.17, 0.00
12.67, 71.00, 66.00, 0.17, 0.00
12.83, 69.00, 65.00, 0.17, 0.00
13.00, 37.00, 46.00, 1.00, 1.00
13.00, 44.00, 50.00, 1.00, 1.00
13.00, 52.00, 55.00, 1.00, 1.00
13.00, 64.00, 62.00, 0.50, 0.00
13.00, 68.00, 64.00, 0.50, 0.00
14.00, 37.00, 46.00, 1.00, 1.00
14.00, 44.00, 50.00, 1.00, 1.00
14.00, 52.00, 55.00, 1.00, 1.00
14.00, 73.00, 67.00, 1.00, 0.00
14.00, 76.00, 69.00, 1.00, 0.00
15.00, 37.00, 46.00, 1.00, 1.00
15.00, 44.00, 50.00, 1.00, 1.00
15.00, 54.00, 56.00, 1.00, 1.00
15.00, 72.00, 66.00, 0.50, 0.00
15.00, 75.00, 68.00, 0.50, 0.00
15.75, 70.00, 65.00, 0.25, 0.00
15.75, 73.00, 67.00, 0.25, 0.00
16.00, 37.00, 46.00, 1.00, 1.00
16.00, 44.00, 50.00, 1.00, 1.00
16.00, 54.00, 56.00, 1.00, 1.00
16.00, 72.00, 66.00, 1.00, 0.00
16.00, 75.00, 68.00, 1.00, 0.00
17.00, 37.00, 46.00, 1.00, 1.00
17.00, 44.00, 50.00, 1.00, 1.00
17.00, 52.00, 55.00, 1.00, 1.00
17.00, 73.00, 67.00, 1.00, 0.00
17.00, 76.00, 69.00, 1.00, 0.00
18.00, 37.00, 46.00, 1.00, 1.00
18.00, 44.00, 50.00, 1.00, 1.00
18.00, 52.00, 55.00, 1.00, 1.00
18.00, 64.00, 62.00, 0.50, 0.00
18.00, 68.00, 64.00, 0.50, 0.00
18.50, 66.00, 63.00, 0.50, 0.00
18.50, 69.00, 65.00, 0.17, 0.00
18.67, 71.00, 66.00, 0.17, 0.00
18.83, 69.00, 65.00, 0.17, 0.00
19.00, 37.00, 46.00, 1.00, 1.00
19.00, 44.00, 50.00, 1.00, 1.00
19.00, 52.00, 55.00, 1.00, 1.00
19.00, 64.00, 62.00, 0.50, 0.00
19.00, 68.00, 64.00, 0.50, 0.00
20.00, 37.00, 46.00, 1.00, 1.00
20.00, 44.00, 50.00, 1.00, 1.00
20.00, 52.00, 55.00, 1.00, 1.00
20.00, 73.00, 67.00, 1.00, 0.00
20.00, 76.00, 69.00, 1.00, 0.00
21.00, 37.00, 46.00, 1.00, 1.00
21.00, 44.00, 50.00, 1.00, 1.00
21.00, 54.00, 56.00, 1.00, 1.00
21.00, 72.00, 66.00, 0.50, 0.00
21.00, 75.00, 68.00, 0.50, 0.00
21.75, 70.00, 65.00, 0.25, 0.00
21.75, 73.00, 67.00, 0.25, 0.00
22.00, 37.00, 46.00, 1.00, 1.00
22.00, 44.00, 50.00, 1.00, 1.00
22.00, 54.00, 56.00, 1.00, 1.00
22.00, 72.00, 66.00, 1.00, 0.00
22.00, 75.00, 68.00, 1.00, 0.00
23.00, 37.00, 46.00, 1.00, 1.00
23.00, 44.00, 50.00, 1.00, 1.00
23.00, 52.00, 55.00, 1.00, 1.00
23.00, 73.00, 67.00, 1.00, 0.00
23.00, 76.00, 69.00, 1.00, 0.00
24.00, 32.00, 43.00, 1.00, 1.00
24.00, 75.00, 68.00, 0.50, 0.00
24.00, 78.00, 70.00, 0.50, 0.00
24.75, 76.00, 69.00, 0.25, 0.00
24.75, 80.00, 71.00, 0.25, 0.00
25.00, 44.00, 50.00, 1.00, 1.00
25.00, 51.00, 54.00, 2.00, 1.00
25.00, 54.00, 56.00, 1.00, 1.00
25.00, 60.00, 59.00, 1.00, 1.00
25.00, 78.00, 70.00, 1.00, 0.00
25.00, 81.00, 72.00, 1.00, 0.00
26.00, 44.00, 50.00, 1.00, 1.00
26.00, 54.00, 56.00, 1.00, 1.00
26.00, 60.00, 59.00, 1.00, 1.00
26.00, 78.00, 70.00, 0.50, 0.00
26.00, 81.00, 72.00, 0.50, 0.00
26.50, 76.00, 69.00, 0.50, 0.00
26.50, 80.00, 71.00, 0.50, 0.00
27.00, 44.00, 50.00, 1.00, 1.00
27.00, 51.00, 54.00, 2.00, 1.00
27.00, 54.00, 56.00, 1.00, 1.00
27.00, 60.00, 59.00, 1.00, 1.00
27.00, 75.00, 68.00, 0.50, 0.00
27.00, 78.00, 70.00, 0.50, 0.00
27.75, 73.00, 67.00, 0.25, 0.00
27.75, 76.00, 69.00, 0.25, 0.00
28.00, 44.00, 50.00, 1.00, 1.00
28.00, 54.00, 56.00, 1.00, 1.00
28.00, 60.00, 59.00, 1.00, 1.00
28.00, 75.00, 68.00, 1.00, 0.00
28.00, 78.00, 70.00, 1.00, 0.00
29.00, 44.00, 50.00, 1.00, 1.00
29.00, 52.00, 55.00, 1.00, 1.00
29.00, 61.00, 60.00, 1.00, 1.00
29.00, 76.00, 69.00, 1.00, 0.00
29.00, 80.00, 71.00, 1.00, 0.00
30.00, 32.00, 43.00, 1.00, 1.00
30.00, 75.00, 68.00, 0.50, 0.00
30.00, 78.00, 70.00, 0.50, 0.00
30.75, 76.00, 69.00, 0.25, 0.00
30.75, 80.00, 71.00, 0.25, 0.00
31.00, 44.00, 50.00, 1.00, 1.00
31.00, 51.00, 54.00, 1.00, 1.00
31.00, 54.00, 56.00, 1.00, 1.00
31.00, 60.00, 59.00, 1.00, 1.00
31.00, 78.00, 70.00, 1.00, 0.00
31.00, 81.00, 72.00, 1.00, 0.00
32.00, 78.00, 70.00, 0.50, 0.00
32.00, 81.00, 72.00, 0.50, 0.00
32.50, 76.00, 69.00, 0.50, 0.00
32.50, 80.00, 71.00, 0.50, 0.00
33.00, 75.00, 68.00, 0.50, 0.00
33.00, 78.00, 70.00, 0.50, 0.00
33.50, 73.00, 67.00, 0.50, 0.00
