ontime, MNN, MPN, duration, channel
-1.00, 62.00, 61.00, 1.00, 0.00
0.00, 38.00, 47.00, 1.00, 1.00
0.00, 74.00, 68.00, 0.50, 0.00
0.50, 75.00, 69.00, 0.50, 0.00
1.00, 54.00, 56.00, 1.00, 1.00
1.00, 60.00, 60.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 1.00
1.00, 74.00, 68.00, 1.00, 0.00
2.00, 54.00, 56.00, 1.00, 1.00
2.00, 60.00, 60.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 69.00, 65.00, 1.00, 0.00
3.00, 43.00, 50.00, 1.00, 1.00
3.00, 70.00, 66.00, 1.50, 0.00
4.00, 55.00, 57.00, 1.00, 1.00
4.00, 58.00, 59.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
4.50, 67.00, 64.00, 0.50, 0.00
5.00, 55.00, 57.00, 1.00, 1.00
5.00, 58.00, 59.00, 1.00, 1.00
5.00, 63.00, 62.00, 1.00, 1.00
5.00, 74.00, 68.00, 0.50, 0.00
5.50, 75.00, 69.00, 0.50, 0.00
6.00, 45.00, 51.00, 1.00, 1.00
6.00, 77.00, 70.00, 0.50, 0.00
6.50, 79.00, 71.00, 0.50, 0.00
7.00, 53.00, 56.00, 1.00, 1.00
7.00, 60.00, 60.00, 1.00, 1.00
7.00, 63.00, 62.00, 1.00, 1.00
7.00, 77.00, 70.00, 1.00, 0.00
8.00, 53.00, 56.00, 1.00, 1.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 63.00, 62.00, 1.00, 1.00
8.00, 72.00, 67.00, 1.00, 0.00
9.00, 46.00, 52.00, 1.00, 1.00
9.00, 74.00, 68.00, 1.00, 0.00
10.00, 53.00, 56.00, 1.00, 1.00
10.00, 58.00, 59.00, 1.00, 1.00
10.00, 62.00, 61.00, 1.00, 1.00
11.00, 53.00, 56.00, 1.00, 1.00
11.00, 58.00, 59.00, 1.00, 1.00
11.00, 62.00, 61.00, 1.00, 1.00
11.00, 74.00, 68.00, 0.50, 0.00
11.50, 74.00, 68.00, 0.50, 0.00
12.00, 74.00, 68.00, 0.50, 0.00
12.50, 75.00, 69.00, 0.50, 0.00
13.00, 50.00, 54.00, 1.00, 1.00
13.00, 54.00, 56.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
13.00, 74.00, 68.00, 1.00, 0.00
14.00, 50.00, 54.00, 1.00, 1.00
14.00, 54.00, 56.00, 1.00, 1.00
14.00, 60.00, 60.00, 1.00, 1.00
14.00, 69.00, 65.00, 1.00, 0.00
15.00, 43.00, 50.00, 1.00, 1.00
15.00, 70.00, 66.00, 0.50, 0.00
15.50, 69.00, 65.00, 0.50, 0.00
16.00, 50.00, 54.00, 1.00, 1.00
16.00, 58.00, 59.00, 1.00, 1.00
16.00, 67.00, 64.00, 1.00, 0.00
17.00, 48.00, 53.00, 2.00, 1.00
17.00, 55.00, 57.00, 2.00, 1.00
17.00, 63.00, 62.00, 2.00, 0.00
