ontime, MNN, MPN, duration, channel
-1.00, 78.00, 70.00, 1.50, 0.00
0.00, 47.00, 52.00, 1.00, 1.00
0.50, 83.00, 73.00, 0.50, 0.00
1.00, 55.00, 57.00, 1.00, 1.00
1.00, 59.00, 59.00, 1.00, 1.00
1.00, 64.00, 62.00, 1.00, 1.00
1.00, 79.00, 71.00, 1.00, 0.00
2.00, 55.00, 57.00, 1.00, 1.00
2.00, 59.00, 59.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 1.00
2.00, 78.00, 70.00, 0.50, 0.00
2.50, 76.00, 69.00, 0.50, 0.00
3.00, 47.00, 52.00, 1.00, 1.00
3.00, 71.00, 66.00, 3.00, 0.00
4.00, 54.00, 56.00, 1.00, 1.00
4.00, 59.00, 59.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
5.00, 54.00, 56.00, 1.00, 1.00
5.00, 59.00, 59.00, 1.00, 1.00
5.00, 62.00, 61.00, 1.00, 1.00
6.00, 47.00, 52.00, 1.00, 1.00
6.00, 73.00, 67.00, 0.50, 0.00
6.50, 76.00, 69.00, 0.50, 0.00
7.00, 54.00, 56.00, 1.00, 1.00
7.00, 58.00, 58.00, 1.00, 1.00
7.00, 64.00, 62.00, 1.00, 1.00
7.00, 74.00, 68.00, 1.00, 0.00
8.00, 54.00, 56.00, 1.00, 1.00
8.00, 58.00, 58.00, 1.00, 1.00
8.00, 64.00, 62.00, 1.00, 1.00
8.00, 73.00, 67.00, 1.00, 0.00
9.00, 47.00, 52.00, 1.00, 1.00
9.00, 71.00, 66.00, 3.00, 0.00
10.00, 54.00, 56.00, 1.00, 1.00
10.00, 59.00, 59.00, 1.00, 1.00
10.00, 62.00, 61.00, 1.00, 1.00
11.00, 54.00, 56.00, 1.00, 1.00
11.00, 59.00, 59.00, 1.00, 1.00
11.00, 62.00, 61.00, 1.00, 1.00
12.00, 37.00, 46.00, 1.00, 1.00
12.00, 73.00, 67.00, 0.50, 0.00
12.50, 71.00, 66.00, 0.50, 0.00
13.00, 49.00, 53.00, 1.00, 1.00
13.00, 53.00, 55.00, 1.00, 1.00
13.00, 59.00, 59.00, 1.00, 1.00
13.00, 69.00, 65.00, 1.00, 0.00
14.00, 49.00, 53.00, 1.00, 1.00
14.00, 53.00, 55.00, 1.00, 1.00
14.00, 59.00, 59.00, 1.00, 1.00
14.00, 68.00, 64.00, 1.00, 0.00
15.00, 42.00, 49.00, 1.00, 1.00
15.00, 69.00, 65.00, 0.50, 0.00
15.50, 73.00, 67.00, 1.00, 0.00
16.00, 49.00, 53.00, 1.00, 1.00
16.00, 57.00, 58.00, 1.00, 1.00
17.00, 61.00, 60.00, 1.50, 0.00
18.50, 59.00, 59.00, 0.50, 0.00
19.00, 57.00, 58.00, 1.00, 0.00
20.00, 56.00, 57.00, 1.00, 0.00
21.00, 57.00, 58.00, 1.00, 0.00
22.00, 61.00, 60.00, 2.00, 0.00
24.00, 49.00, 53.00, 6.00, 1.00
24.00, 56.00, 57.00, 1.00, 1.00
24.00, 59.00, 59.00, 1.00, 0.00
25.00, 54.00, 56.00, 1.00, 1.00
25.00, 57.00, 58.00, 1.00, 0.00
26.00, 57.00, 58.00, 1.00, 1.00
26.00, 61.00, 60.00, 1.00, 0.00
27.00, 56.00, 57.00, 0.50, 1.00
27.00, 59.00, 59.00, 0.50, 0.00
27.50, 54.00, 56.00, 0.50, 1.00
27.50, 57.00, 58.00, 0.50, 0.00
28.00, 57.00, 58.00, 1.00, 1.00
28.00, 61.00, 60.00, 1.00, 0.00
29.00, 57.00, 58.00, 1.00, 1.00
29.00, 61.00, 60.00, 1.00, 0.00
30.00, 49.00, 53.00, 4.00, 1.00
30.00, 56.00, 57.00, 1.00, 1.00
30.00, 59.00, 59.00, 1.00, 0.00
31.00, 54.00, 56.00, 1.00, 1.00
31.00, 58.00, 58.00, 1.00, 0.00
32.00, 58.00, 58.00, 1.00, 1.00
32.00, 61.00, 60.00, 1.00, 0.00
33.00, 56.00, 57.00, 0.50, 1.00
33.00, 59.00, 59.00, 0.50, 0.00
33.50, 54.00, 56.00, 1.50, 1.00
33.50, 58.00, 58.00, 0.50, 0.00
34.00, 42.00, 49.00, 2.00, 1.00
34.00, 66.00, 63.00, 1.00, 0.00
35.00, 78.00, 70.00, 1.50, 0.00
36.00, 47.00, 52.00, 1.00, 1.00
36.50, 83.00, 73.00, 0.50, 0.00
37.00, 55.00, 57.00, 1.00, 1.00
37.00, 59.00, 59.00, 1.00, 1.00
37.00, 64.00, 62.00, 1.00, 1.00
37.00, 79.00, 71.00, 1.00, 0.00
38.00, 55.00, 57.00, 1.00, 1.00
38.00, 59.00, 59.00, 1.00, 1.00
38.00, 64.00, 62.00, 1.00, 1.00
38.00, 78.00, 70.00, 0.50, 0.00
38.50, 76.00, 69.00, 0.50, 0.00
39.00, 47.00, 52.00, 1.00, 1.00
39.00, 71.00, 66.00, 3.00, 0.00
40.00, 54.00, 56.00, 1.00, 1.00
40.00, 59.00, 59.00, 1.00, 1.00
40.00, 62.00, 61.00, 1.00, 1.00
41.00, 54.00, 56.00, 1.00, 1.00
41.00, 59.00, 59.00, 1.00, 1.00
41.00, 62.00, 61.00, 1.00, 1.00
42.00, 47.00, 52.00, 1.00, 1.00
42.00, 73.00, 67.00, 0.50, 0.00
42.50, 76.00, 69.00, 0.50, 0.00
43.00, 54.00, 56.00, 1.00, 1.00
43.00, 58.00, 58.00, 1.00, 1.00
43.00, 64.00, 62.00, 1.00, 1.00
43.00, 74.00, 68.00, 1.00, 0.00
44.00, 54.00, 56.00, 1.00, 1.00
44.00, 58.00, 58.00, 1.00, 1.00
44.00, 64.00, 62.00, 1.00, 1.00
44.00, 73.00, 67.00, 1.00, 0.00
45.00, 47.00, 52.00, 1.00, 1.00
45.00, 71.00, 66.00, 2.00, 0.00
46.00, 54.00, 56.00, 1.00, 1.00
46.00, 59.00, 59.00, 1.00, 1.00
46.00, 62.00, 61.00, 1.00, 1.00
47.00, 50.00, 54.00, 1.50, 0.00
48.00, 59.00, 59.00, 1.00, 1.00
48.00, 65.00, 63.00, 1.00, 1.00
48.50, 55.00, 57.00, 0.50, 0.00
49.00, 52.00, 55.00, 0.33, 0.00
49.00, 60.00, 60.00, 1.00, 1.00
49.00, 64.00, 62.00, 1.00, 1.00
49.33, 53.00, 56.00, 0.33, 0.00
49.67, 52.00, 55.00, 0.33, 0.00
50.00, 50.00, 54.00, 0.50, 0.00
50.00, 60.00, 60.00, 1.00, 1.00
50.00, 64.00, 62.00, 1.00, 1.00
50.50, 48.00, 53.00, 0.50, 0.00
51.00, 50.00, 54.00, 0.75, 0.00
51.00, 55.00, 57.00, 1.00, 1.00
51.00, 59.00, 59.00, 1.00, 1.00
51.00, 65.00, 63.00, 1.00, 1.00
51.75, 43.00, 50.00, 0.25, 0.00
