ontime, MNN, MPN, duration, channel
-1.00, 67.00, 64.00, 1.00, 0.00
0.00, 55.00, 57.00, 2.00, 1.00
0.00, 65.00, 63.00, 1.00, 0.00
0.00, 71.00, 66.00, 1.00, 0.00
0.00, 74.00, 68.00, 1.00, 0.00
1.00, 65.00, 63.00, 2.00, 0.00
1.00, 67.00, 64.00, 3.00, 1.00
1.00, 71.00, 66.00, 2.00, 0.00
1.00, 76.00, 69.00, 1.50, 0.00
2.00, 55.00, 57.00, 1.00, 1.00
2.50, 74.00, 68.00, 0.50, 0.00
3.00, 60.00, 60.00, 2.00, 1.00
3.00, 64.00, 62.00, 1.00, 0.00
3.00, 72.00, 67.00, 0.75, 0.00
3.75, 71.00, 66.00, 0.25, 0.00
4.00, 64.00, 62.00, 2.00, 0.00
4.00, 67.00, 64.00, 3.00, 1.00
4.00, 72.00, 67.00, 1.50, 0.00
5.00, 55.00, 57.00, 1.00, 1.00
5.50, 73.00, 67.00, 0.50, 0.00
6.00, 59.00, 59.00, 1.00, 1.00
6.00, 65.00, 63.00, 1.00, 0.00
6.00, 74.00, 68.00, 0.75, 0.00
6.75, 75.00, 68.00, 0.25, 0.00
7.00, 65.00, 63.00, 2.00, 0.00
7.00, 67.00, 64.00, 3.00, 1.00
7.00, 71.00, 66.00, 2.00, 0.00
7.00, 76.00, 69.00, 1.50, 0.00
8.00, 55.00, 57.00, 1.00, 1.00
8.50, 74.00, 68.00, 0.50, 0.00
9.00, 60.00, 60.00, 2.00, 1.00
9.00, 64.00, 62.00, 1.00, 0.00
9.00, 72.00, 67.00, 0.75, 0.00
9.75, 71.00, 66.00, 0.25, 0.00
10.00, 64.00, 62.00, 2.00, 0.00
10.00, 67.00, 64.00, 2.00, 1.00
10.00, 72.00, 67.00, 2.00, 0.00
11.00, 60.00, 60.00, 1.00, 1.00
12.00, 52.00, 55.00, 2.00, 1.00
12.00, 62.00, 61.00, 1.00, 0.00
12.00, 68.00, 64.00, 1.00, 0.00
12.00, 71.00, 66.00, 1.00, 0.00
13.00, 62.00, 61.00, 2.00, 0.00
13.00, 64.00, 62.00, 3.00, 1.00
13.00, 68.00, 64.00, 2.00, 0.00
13.00, 72.00, 67.00, 1.50, 0.00
14.00, 52.00, 55.00, 1.00, 1.00
14.50, 71.00, 66.00, 0.50, 0.00
15.00, 57.00, 58.00, 2.00, 1.00
15.00, 61.00, 60.00, 1.00, 0.00
15.00, 67.00, 64.00, 1.00, 0.00
15.00, 69.00, 65.00, 0.75, 0.00
15.75, 68.00, 64.00, 0.25, 0.00
16.00, 61.00, 60.00, 2.00, 0.00
16.00, 64.00, 62.00, 2.00, 1.00
16.00, 67.00, 64.00, 2.00, 0.00
16.00, 69.00, 65.00, 1.50, 0.00
17.00, 57.00, 58.00, 1.00, 1.00
17.50, 71.00, 66.00, 0.50, 0.00
18.00, 50.00, 54.00, 1.00, 1.00
18.00, 66.00, 63.00, 1.00, 0.00
18.00, 72.00, 67.00, 0.75, 0.00
18.75, 73.00, 67.00, 0.25, 0.00
19.00, 66.00, 63.00, 2.00, 0.00
19.00, 69.00, 65.00, 2.00, 1.00
19.00, 72.00, 67.00, 2.00, 0.00
19.00, 76.00, 69.00, 1.50, 0.00
20.00, 62.00, 61.00, 1.00, 1.00
20.50, 74.00, 68.00, 0.50, 0.00
21.00, 55.00, 57.00, 1.00, 1.00
21.00, 65.00, 63.00, 1.00, 0.00
21.00, 71.00, 66.00, 1.00, 0.00
21.00, 73.00, 67.00, 0.50, 0.00
21.75, 74.00, 68.00, 0.25, 0.00
22.00, 65.00, 63.00, 2.00, 0.00
22.00, 67.00, 64.00, 2.00, 0.00
22.00, 71.00, 66.00, 2.00, 0.00
22.00, 79.00, 71.00, 2.00, 0.00
23.00, 55.00, 57.00, 1.00, 1.00
24.00, 65.00, 63.00, 1.00, 0.00
24.00, 71.00, 66.00, 1.00, 0.00
24.00, 74.00, 68.00, 1.00, 0.00
25.00, 65.00, 63.00, 2.00, 0.00
25.00, 67.00, 64.00, 3.00, 1.00
25.00, 71.00, 66.00, 2.00, 0.00
25.00, 76.00, 69.00, 1.50, 0.00
26.00, 55.00, 57.00, 1.00, 1.00
26.50, 74.00, 68.00, 0.50, 0.00
27.00, 60.00, 60.00, 2.00, 1.00
27.00, 64.00, 62.00, 1.00, 0.00
27.00, 72.00, 67.00, 0.75, 0.00
27.75, 71.00, 66.00, 0.25, 0.00
28.00, 64.00, 62.00, 2.00, 0.00
28.00, 67.00, 64.00, 3.00, 1.00
28.00, 72.00, 67.00, 1.50, 0.00
29.00, 55.00, 57.00, 1.00, 1.00
29.50, 73.00, 67.00, 0.50, 0.00
30.00, 59.00, 59.00, 1.00, 1.00
30.00, 65.00, 63.00, 1.00, 0.00
30.00, 74.00, 68.00, 0.75, 0.00
30.75, 75.00, 68.00, 0.25, 0.00
31.00, 65.00, 63.00, 2.00, 0.00
31.00, 67.00, 64.00, 3.00, 1.00
31.00, 71.00, 66.00, 2.00, 0.00
31.00, 76.00, 69.00, 1.50, 0.00
32.00, 55.00, 57.00, 1.00, 1.00
32.50, 74.00, 68.00, 0.50, 0.00
33.00, 60.00, 60.00, 2.00, 1.00
33.00, 64.00, 62.00, 1.00, 0.00
33.00, 72.00, 67.00, 0.75, 0.00
33.75, 71.00, 66.00, 0.25, 0.00
34.00, 64.00, 62.00, 2.00, 0.00
34.00, 67.00, 64.00, 2.00, 1.00
34.00, 72.00, 67.00, 2.00, 0.00
35.00, 60.00, 60.00, 1.00, 1.00
36.00, 50.00, 54.00, 2.00, 1.00
36.00, 60.00, 60.00, 1.00, 0.00
36.00, 65.00, 63.00, 1.00, 0.00
36.00, 69.00, 65.00, 1.00, 0.00
37.00, 60.00, 60.00, 2.00, 0.00
37.00, 62.00, 61.00, 3.00, 1.00
37.00, 65.00, 63.00, 2.00, 0.00
37.00, 71.00, 66.00, 1.50, 0.00
38.00, 50.00, 54.00, 1.00, 1.00
38.50, 69.00, 65.00, 0.50, 0.00
39.00, 55.00, 57.00, 2.00, 1.00
39.00, 59.00, 59.00, 1.00, 0.00
39.00, 65.00, 63.00, 1.00, 0.00
39.00, 67.00, 64.00, 0.75, 0.00
39.75, 66.00, 63.00, 0.25, 0.00
40.00, 59.00, 59.00, 2.00, 0.00
40.00, 62.00, 61.00, 2.00, 1.00
40.00, 65.00, 63.00, 2.00, 0.00
40.00, 67.00, 64.00, 1.50, 0.00
41.00, 55.00, 57.00, 1.00, 1.00
41.50, 69.00, 65.00, 0.50, 0.00
42.00, 43.00, 50.00, 1.00, 1.00
42.00, 65.00, 63.00, 1.00, 0.00
42.00, 67.00, 64.00, 1.00, 0.00
42.00, 71.00, 66.00, 0.50, 0.00
42.75, 72.00, 67.00, 0.25, 0.00
