ontime, MNN, MPN, duration, channel
0.00, 43.00, 50.00, 1.00, 1.00
0.00, 50.00, 54.00, 1.00, 1.00
0.00, 59.00, 59.00, 1.00, 0.00
0.00, 62.00, 61.00, 1.00, 0.00
1.00, 43.00, 50.00, 1.00, 1.00
1.00, 50.00, 54.00, 1.00, 1.00
1.00, 59.00, 59.00, 1.00, 0.00
1.00, 62.00, 61.00, 1.00, 0.00
2.00, 43.00, 50.00, 1.00, 1.00
2.00, 50.00, 54.00, 1.00, 1.00
2.00, 59.00, 59.00, 1.00, 0.00
2.00, 62.00, 61.00, 1.00, 0.00
3.00, 43.00, 50.00, 1.00, 1.00
3.00, 50.00, 54.00, 1.00, 1.00
3.00, 60.00, 60.00, 0.50, 0.00
3.00, 64.00, 62.00, 0.50, 0.00
3.75, 59.00, 59.00, 0.25, 0.00
3.75, 62.00, 61.00, 0.25, 0.00
4.00, 43.00, 50.00, 1.00, 1.00
4.00, 50.00, 54.00, 1.00, 1.00
4.00, 58.00, 58.00, 1.00, 0.00
4.00, 61.00, 60.00, 1.00, 0.00
5.00, 43.00, 50.00, 1.00, 1.00
5.00, 50.00, 54.00, 1.00, 1.00
5.00, 59.00, 59.00, 1.00, 0.00
5.00, 62.00, 61.00, 1.00, 0.00
6.00, 43.00, 50.00, 1.00, 1.00
6.00, 50.00, 54.00, 1.00, 1.00
6.00, 60.00, 60.00, 0.50, 0.00
6.00, 64.00, 62.00, 0.50, 0.00
6.75, 59.00, 59.00, 0.25, 0.00
6.75, 62.00, 61.00, 0.25, 0.00
7.00, 43.00, 50.00, 1.00, 1.00
7.00, 50.00, 54.00, 1.00, 1.00
7.00, 58.00, 58.00, 1.00, 0.00
7.00, 61.00, 60.00, 1.00, 0.00
8.00, 43.00, 50.00, 1.00, 1.00
8.00, 50.00, 54.00, 1.00, 1.00
8.00, 59.00, 59.00, 1.00, 0.00
8.00, 62.00, 61.00, 1.00, 0.00
9.00, 43.00, 50.00, 1.00, 1.00
9.00, 50.00, 54.00, 1.00, 1.00
9.00, 60.00, 60.00, 0.50, 0.00
9.00, 64.00, 62.00, 0.50, 0.00
9.75, 59.00, 59.00, 0.25, 0.00
9.75, 62.00, 61.00, 0.25, 0.00
10.00, 43.00, 50.00, 1.00, 1.00
10.00, 50.00, 54.00, 1.00, 1.00
10.00, 58.00, 58.00, 1.00, 0.00
10.00, 61.00, 60.00, 1.00, 0.00
11.00, 43.00, 50.00, 1.00, 1.00
11.00, 50.00, 54.00, 1.00, 1.00
11.00, 59.00, 59.00, 1.00, 0.00
11.00, 62.00, 61.00, 1.00, 0.00
12.00, 31.00, 43.00, 1.00, 1.00
12.00, 43.00, 50.00, 1.00, 1.00
12.00, 62.00, 61.00, 1.00, 0.00
13.00, 55.00, 57.00, 1.00, 1.00
13.00, 62.00, 61.00, 1.00, 1.00
13.00, 67.00, 64.00, 0.50, 0.00
13.00, 71.00, 66.00, 0.50, 0.00
13.50, 66.00, 63.00, 0.50, 0.00
13.50, 69.00, 65.00, 0.50, 0.00
14.00, 55.00, 57.00, 1.00, 1.00
14.00, 62.00, 61.00, 1.00, 1.00
14.00, 67.00, 64.00, 0.50, 0.00
14.00, 71.00, 66.00, 0.50, 0.00
14.50, 69.00, 65.00, 0.50, 0.00
14.50, 72.00, 67.00, 0.50, 0.00
15.00, 55.00, 57.00, 1.00, 1.00
15.00, 62.00, 61.00, 1.00, 1.00
15.00, 71.00, 66.00, 0.50, 0.00
15.00, 74.00, 68.00, 0.50, 0.00
15.50, 70.00, 65.00, 0.50, 0.00
15.50, 73.00, 67.00, 0.50, 0.00
16.00, 55.00, 57.00, 1.00, 1.00
16.00, 62.00, 61.00, 1.00, 1.00
16.00, 71.00, 66.00, 1.00, 0.00
16.00, 74.00, 68.00, 1.00, 0.00
17.00, 55.00, 57.00, 1.00, 1.00
17.00, 62.00, 61.00, 1.00, 1.00
17.00, 71.00, 66.00, 1.00, 0.00
17.00, 79.00, 71.00, 1.00, 0.00
18.00, 38.00, 47.00, 1.00, 1.00
18.00, 62.00, 61.00, 1.00, 0.00
19.00, 50.00, 54.00, 1.00, 1.00
19.00, 54.00, 56.00, 1.00, 1.00
19.00, 60.00, 60.00, 1.00, 1.00
19.00, 69.00, 65.00, 0.50, 0.00
19.00, 72.00, 67.00, 0.50, 0.00
19.50, 68.00, 64.00, 0.50, 0.00
19.50, 71.00, 66.00, 0.50, 0.00
20.00, 69.00, 65.00, 0.50, 0.00
20.00, 72.00, 67.00, 0.50, 0.00
20.50, 72.00, 67.00, 0.50, 0.00
20.50, 76.00, 69.00, 0.50, 0.00
21.00, 43.00, 50.00, 1.00, 1.00
21.00, 72.00, 67.00, 1.00, 0.00
21.00, 76.00, 69.00, 0.33, 0.00
21.33, 78.00, 70.00, 0.33, 0.00
21.67, 76.00, 69.00, 0.33, 0.00
22.00, 50.00, 54.00, 1.00, 1.00
22.00, 55.00, 57.00, 1.00, 1.00
22.00, 59.00, 59.00, 1.00, 1.00
22.00, 71.00, 66.00, 1.50, 0.00
22.00, 74.00, 68.00, 1.50, 0.00
23.00, 50.00, 54.00, 1.00, 1.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 59.00, 59.00, 1.00, 1.00
23.50, 67.00, 64.00, 0.50, 0.00
23.50, 71.00, 66.00, 0.50, 0.00
24.00, 43.00, 50.00, 1.00, 1.00
24.00, 62.00, 61.00, 1.00, 0.00
25.00, 55.00, 57.00, 1.00, 1.00
25.00, 62.00, 61.00, 1.00, 1.00
25.00, 67.00, 64.00, 0.50, 0.00
25.00, 71.00, 66.00, 0.50, 0.00
25.50, 66.00, 63.00, 0.50, 0.00
25.50, 69.00, 65.00, 0.50, 0.00
26.00, 55.00, 57.00, 1.00, 1.00
26.00, 62.00, 61.00, 1.00, 1.00
26.00, 67.00, 64.00, 0.50, 0.00
26.00, 71.00, 66.00, 0.50, 0.00
26.50, 69.00, 65.00, 0.50, 0.00
26.50, 72.00, 67.00, 0.50, 0.00
27.00, 55.00, 57.00, 1.00, 1.00
27.00, 62.00, 61.00, 1.00, 1.00
27.00, 71.00, 66.00, 0.50, 0.00
27.00, 74.00, 68.00, 0.50, 0.00
27.50, 70.00, 65.00, 0.50, 0.00
27.50, 73.00, 67.00, 0.50, 0.00
28.00, 55.00, 57.00, 1.00, 1.00
28.00, 62.00, 61.00, 1.00, 1.00
28.00, 71.00, 66.00, 1.00, 0.00
28.00, 74.00, 68.00, 1.00, 0.00
29.00, 52.00, 55.00, 1.00, 1.00
29.00, 59.00, 59.00, 1.00, 1.00
29.00, 64.00, 62.00, 1.00, 1.00
29.00, 68.00, 64.00, 1.00, 0.00
29.00, 74.00, 68.00, 1.00, 0.00
29.00, 83.00, 73.00, 1.00, 0.00
30.00, 57.00, 58.00, 1.00, 1.00
30.00, 64.00, 62.00, 1.00, 1.00
30.00, 67.00, 64.00, 1.00, 0.00
30.00, 69.00, 65.00, 1.00, 0.00
31.00, 57.00, 58.00, 1.00, 1.00
31.00, 64.00, 62.00, 1.00, 1.00
31.00, 67.00, 64.00, 1.00, 0.00
31.00, 72.00, 67.00, 0.50, 0.00
31.50, 71.00, 66.00, 0.50, 0.00
32.00, 50.00, 54.00, 1.00, 1.00
32.00, 57.00, 58.00, 1.00, 1.00
32.00, 60.00, 60.00, 1.00, 1.00
32.00, 66.00, 63.00, 1.00, 0.00
32.00, 72.00, 67.00, 0.50, 0.00
32.50, 76.00, 69.00, 0.50, 0.00
33.00, 55.00, 57.00, 3.00, 1.00
33.00, 60.00, 60.00, 1.00, 1.00
