ontime, MNN, MPN, duration, channel
0.00, 35.00, 45.00, 0.50, 1.00
0.00, 47.00, 52.00, 0.50, 1.00
0.00, 54.00, 56.00, 0.50, 0.00
0.00, 59.00, 59.00, 0.50, 0.00
0.00, 63.00, 61.00, 0.50, 0.00
1.00, 54.00, 56.00, 0.50, 0.00
1.50, 59.00, 59.00, 0.50, 0.00
2.00, 63.00, 61.00, 0.50, 0.00
2.50, 61.00, 60.00, 0.50, 0.00
2.50, 64.00, 62.00, 0.50, 0.00
3.00, 62.00, 60.00, 0.50, 0.00
3.00, 65.00, 62.00, 0.50, 0.00
3.75, 56.00, 57.00, 0.25, 0.00
4.00, 47.00, 52.00, 1.00, 1.00
4.00, 56.00, 57.00, 1.00, 1.00
4.00, 62.00, 60.00, 1.00, 0.00
4.00, 65.00, 62.00, 1.00, 0.00
5.00, 47.00, 52.00, 1.00, 1.00
5.00, 54.00, 56.00, 1.00, 1.00
5.00, 63.00, 61.00, 1.00, 0.00
5.00, 66.00, 63.00, 1.00, 0.00
6.00, 40.00, 48.00, 1.00, 1.00
6.00, 47.00, 52.00, 1.00, 1.00
6.00, 56.00, 57.00, 0.50, 0.00
6.00, 64.00, 62.00, 0.50, 0.00
6.00, 71.00, 66.00, 0.50, 0.00
7.00, 59.00, 59.00, 0.50, 0.00
7.50, 68.00, 64.00, 0.50, 0.00
7.50, 71.00, 66.00, 0.50, 0.00
8.00, 52.00, 55.00, 1.00, 1.00
8.00, 59.00, 59.00, 1.00, 1.00
8.00, 66.00, 63.00, 0.50, 0.00
8.00, 70.00, 65.00, 0.50, 0.00
8.50, 64.00, 62.00, 0.50, 0.00
8.50, 68.00, 64.00, 0.50, 0.00
9.00, 62.00, 60.00, 0.50, 0.00
9.00, 65.00, 62.00, 0.50, 0.00
9.75, 56.00, 57.00, 0.25, 0.00
10.00, 47.00, 52.00, 1.00, 1.00
10.00, 56.00, 57.00, 1.00, 1.00
10.00, 62.00, 60.00, 1.00, 0.00
10.00, 65.00, 62.00, 1.00, 0.00
11.00, 47.00, 52.00, 1.00, 1.00
11.00, 54.00, 56.00, 1.00, 1.00
11.00, 63.00, 61.00, 1.00, 0.00
11.00, 66.00, 63.00, 1.00, 0.00
12.00, 30.00, 42.00, 0.50, 1.00
12.00, 42.00, 49.00, 0.50, 1.00
12.00, 58.00, 58.00, 0.50, 0.00
12.00, 64.00, 62.00, 0.50, 0.00
12.00, 68.00, 64.00, 0.50, 0.00
13.00, 54.00, 56.00, 0.50, 0.00
13.50, 68.00, 64.00, 0.50, 0.00
14.00, 42.00, 49.00, 1.00, 1.00
14.00, 54.00, 56.00, 1.00, 1.00
14.00, 58.00, 58.00, 1.00, 1.00
14.00, 63.00, 61.00, 0.50, 0.00
14.00, 66.00, 63.00, 0.50, 0.00
14.50, 61.00, 60.00, 0.50, 0.00
14.50, 64.00, 62.00, 0.50, 0.00
15.00, 58.00, 58.00, 0.50, 0.00
15.00, 62.00, 60.00, 0.50, 0.00
15.75, 51.00, 54.00, 0.25, 0.00
16.00, 44.00, 50.00, 1.00, 1.00
16.00, 58.00, 58.00, 1.00, 0.00
16.00, 62.00, 60.00, 1.00, 0.00
17.00, 44.00, 50.00, 1.00, 1.00
17.00, 51.00, 54.00, 1.00, 1.00
17.00, 54.00, 56.00, 1.00, 0.00
17.00, 59.00, 59.00, 1.00, 0.00
17.00, 63.00, 61.00, 1.00, 0.00
18.00, 37.00, 46.00, 0.50, 1.00
18.00, 59.00, 59.00, 0.50, 0.00
18.00, 63.00, 61.00, 0.50, 0.00
19.00, 49.00, 53.00, 1.00, 1.00
19.00, 53.00, 55.00, 0.50, 0.00
19.00, 56.00, 57.00, 1.00, 1.00
19.50, 59.00, 59.00, 0.50, 0.00
19.50, 63.00, 61.00, 0.50, 0.00
20.00, 59.00, 59.00, 0.50, 0.00
20.00, 63.00, 61.00, 0.50, 0.00
20.75, 59.00, 59.00, 0.25, 0.00
20.75, 61.00, 60.00, 0.25, 0.00
21.00, 42.00, 49.00, 1.00, 1.00
21.00, 64.00, 62.00, 0.50, 0.00
21.00, 68.00, 64.00, 0.50, 0.00
21.50, 68.00, 64.00, 0.50, 0.00
21.50, 71.00, 66.00, 0.50, 0.00
22.00, 54.00, 56.00, 1.00, 1.00
22.00, 58.00, 58.00, 1.00, 0.00
22.00, 61.00, 60.00, 1.00, 0.00
23.00, 54.00, 56.00, 1.00, 1.00
23.00, 58.00, 58.00, 1.00, 0.00
23.00, 61.00, 60.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 0.00
23.00, 68.00, 64.00, 1.00, 0.00
24.00, 35.00, 45.00, 1.00, 1.00
24.00, 47.00, 52.00, 1.00, 1.00
24.00, 63.00, 61.00, 1.00, 0.00
24.00, 66.00, 63.00, 1.00, 0.00
24.00, 75.00, 68.00, 1.00, 0.00
25.00, 54.00, 56.00, 1.00, 1.00
25.00, 59.00, 59.00, 1.00, 1.00
25.00, 63.00, 61.00, 1.00, 1.00
25.00, 66.00, 63.00, 0.50, 0.00
25.50, 71.00, 66.00, 0.50, 0.00
25.50, 75.00, 68.00, 0.50, 0.00
26.00, 73.00, 67.00, 0.75, 0.00
26.00, 76.00, 69.00, 0.75, 0.00
26.75, 74.00, 67.00, 0.25, 0.00
26.75, 77.00, 69.00, 0.25, 0.00
27.00, 47.00, 52.00, 1.00, 1.00
27.00, 74.00, 67.00, 0.50, 0.00
27.00, 77.00, 69.00, 0.50, 0.00
27.50, 68.00, 64.00, 0.50, 0.00
28.00, 56.00, 57.00, 1.00, 1.00
28.00, 59.00, 59.00, 1.00, 1.00
28.00, 62.00, 60.00, 1.00, 1.00
28.00, 74.00, 67.00, 1.00, 0.00
28.00, 77.00, 69.00, 1.00, 0.00
29.00, 54.00, 56.00, 1.00, 1.00
29.00, 59.00, 59.00, 1.00, 1.00
29.00, 63.00, 61.00, 1.00, 1.00
29.00, 66.00, 63.00, 1.00, 0.00
29.00, 75.00, 68.00, 1.00, 0.00
29.00, 78.00, 70.00, 1.00, 0.00
30.00, 40.00, 48.00, 1.00, 1.00
30.00, 52.00, 55.00, 1.00, 1.00
30.00, 68.00, 64.00, 1.00, 0.00
30.00, 76.00, 69.00, 1.00, 0.00
30.00, 83.00, 73.00, 1.00, 0.00
31.00, 56.00, 57.00, 1.00, 1.00
31.00, 59.00, 59.00, 1.00, 1.00
31.00, 64.00, 62.00, 1.00, 1.00
31.00, 68.00, 64.00, 1.00, 1.00
31.00, 71.00, 66.00, 0.50, 0.00
31.50, 80.00, 71.00, 0.50, 0.00
31.50, 83.00, 73.00, 0.50, 0.00
32.00, 78.00, 70.00, 0.50, 0.00
32.00, 82.00, 72.00, 0.50, 0.00
32.50, 76.00, 69.00, 0.50, 0.00
32.50, 80.00, 71.00, 0.50, 0.00
33.00, 47.00, 52.00, 1.00, 1.00
33.00, 74.00, 67.00, 0.50, 0.00
33.00, 77.00, 69.00, 0.50, 0.00
