ontime, MNN, MPN, duration, channel
-1.00, 63.00, 61.00, 1.00, 0.00
0.00, 64.00, 62.00, 0.75, 0.00
0.75, 63.00, 61.00, 0.25, 0.00
1.00, 62.00, 60.00, 1.00, 0.00
1.00, 68.00, 64.00, 1.00, 0.00
1.00, 71.00, 66.00, 1.00, 0.00
2.00, 39.00, 47.00, 1.00, 1.00
2.00, 61.00, 60.00, 1.00, 0.00
2.00, 67.00, 63.00, 1.00, 0.00
2.00, 70.00, 65.00, 1.00, 0.00
3.00, 44.00, 50.00, 2.00, 1.00
3.00, 68.00, 64.00, 2.50, 0.00
4.00, 51.00, 54.00, 1.00, 1.00
4.00, 56.00, 57.00, 1.00, 1.00
4.00, 59.00, 59.00, 1.00, 0.00
4.00, 63.00, 61.00, 1.00, 0.00
5.50, 70.00, 65.00, 0.50, 0.00
6.00, 71.00, 66.00, 0.50, 0.00
6.50, 73.00, 67.00, 0.50, 0.00
7.00, 75.00, 68.00, 1.00, 0.00
8.00, 76.00, 69.00, 1.00, 0.00
9.00, 75.00, 68.00, 0.50, 0.00
9.50, 80.00, 71.00, 0.25, 0.00
10.00, 75.00, 68.00, 2.00, 0.00
11.00, 56.00, 57.00, 2.00, 1.00
11.00, 63.00, 61.00, 2.00, 1.00
11.00, 68.00, 64.00, 2.00, 0.00
11.00, 71.00, 66.00, 2.00, 0.00
12.00, 75.00, 68.00, 0.75, 0.00
12.75, 73.00, 67.00, 0.25, 0.00
13.00, 49.00, 53.00, 1.00, 1.00
13.00, 61.00, 60.00, 1.00, 1.00
13.00, 68.00, 64.00, 1.00, 0.00
13.00, 70.00, 65.00, 1.00, 0.00
13.00, 76.00, 69.00, 1.00, 0.00
14.00, 44.00, 50.00, 1.00, 1.00
14.00, 56.00, 57.00, 1.00, 1.00
14.00, 68.00, 64.00, 1.00, 0.00
14.00, 71.00, 66.00, 1.00, 0.00
14.00, 75.00, 68.00, 1.00, 0.00
15.00, 71.00, 66.00, 0.75, 0.00
15.75, 70.00, 65.00, 0.25, 0.00
16.00, 37.00, 46.00, 1.00, 1.00
16.00, 49.00, 53.00, 1.00, 1.00
16.00, 64.00, 62.00, 1.00, 0.00
16.00, 68.00, 64.00, 1.00, 0.00
16.00, 73.00, 67.00, 1.00, 0.00
17.00, 32.00, 43.00, 1.00, 1.00
17.00, 44.00, 50.00, 1.00, 1.00
17.00, 63.00, 61.00, 1.00, 0.00
17.00, 68.00, 64.00, 1.00, 0.00
17.00, 71.00, 66.00, 1.00, 0.00
18.00, 64.00, 62.00, 0.75, 0.00
18.75, 63.00, 61.00, 0.25, 0.00
19.00, 62.00, 60.00, 1.00, 0.00
19.00, 68.00, 64.00, 1.00, 0.00
19.00, 71.00, 66.00, 1.00, 0.00
20.00, 39.00, 47.00, 1.00, 1.00
20.00, 61.00, 60.00, 1.00, 0.00
20.00, 67.00, 63.00, 1.00, 0.00
20.00, 70.00, 65.00, 1.00, 0.00
21.00, 44.00, 50.00, 3.00, 1.00
21.00, 68.00, 64.00, 2.00, 0.00
22.00, 51.00, 54.00, 1.00, 1.00
22.00, 56.00, 57.00, 1.00, 1.00
22.00, 59.00, 59.00, 1.00, 0.00
22.00, 63.00, 61.00, 1.00, 0.00
23.00, 51.00, 54.00, 1.00, 1.00
23.00, 56.00, 57.00, 1.00, 1.00
23.00, 59.00, 59.00, 1.00, 0.00
23.00, 63.00, 61.00, 1.00, 0.00
23.00, 71.00, 66.00, 1.00, 0.00
24.00, 75.00, 68.00, 0.75, 0.00
24.75, 73.00, 67.00, 0.25, 0.00
25.00, 49.00, 53.00, 1.00, 1.00
25.00, 61.00, 60.00, 1.00, 1.00
25.00, 68.00, 64.00, 1.00, 0.00
25.00, 70.00, 65.00, 1.00, 0.00
25.00, 76.00, 69.00, 1.00, 0.00
26.00, 44.00, 50.00, 1.00, 1.00
26.00, 56.00, 57.00, 1.00, 1.00
26.00, 68.00, 64.00, 1.00, 0.00
26.00, 71.00, 66.00, 1.00, 0.00
26.00, 75.00, 68.00, 1.00, 0.00
27.00, 71.00, 66.00, 0.75, 0.00
27.75, 70.00, 65.00, 0.25, 0.00
28.00, 37.00, 46.00, 1.00, 1.00
28.00, 49.00, 53.00, 1.00, 1.00
28.00, 64.00, 62.00, 1.00, 0.00
28.00, 68.00, 64.00, 1.00, 0.00
28.00, 73.00, 67.00, 1.00, 0.00
29.00, 32.00, 43.00, 1.00, 1.00
29.00, 44.00, 50.00, 1.00, 1.00
29.00, 63.00, 61.00, 1.00, 0.00
29.00, 68.00, 64.00, 1.00, 0.00
29.00, 71.00, 66.00, 1.00, 0.00
30.00, 64.00, 62.00, 0.75, 0.00
30.75, 63.00, 61.00, 0.25, 0.00
31.00, 62.00, 60.00, 1.00, 0.00
31.00, 68.00, 64.00, 1.00, 0.00
31.00, 71.00, 66.00, 1.00, 0.00
32.00, 39.00, 47.00, 1.00, 1.00
32.00, 61.00, 60.00, 1.00, 0.00
32.00, 67.00, 63.00, 1.00, 0.00
32.00, 70.00, 65.00, 1.00, 0.00
33.00, 44.00, 50.00, 1.00, 1.00
33.00, 68.00, 64.00, 1.00, 0.00
34.00, 56.00, 57.00, 1.00, 1.00
34.00, 59.00, 59.00, 2.00, 0.00
34.00, 63.00, 61.00, 1.00, 0.00
35.00, 55.00, 57.00, 1.00, 1.00
35.00, 64.00, 62.00, 1.00, 0.00
35.00, 71.00, 66.00, 1.00, 0.00
36.00, 54.00, 56.00, 3.00, 1.00
36.00, 61.00, 60.00, 0.75, 1.00
36.00, 64.00, 62.00, 3.00, 0.00
36.00, 70.00, 65.00, 0.75, 0.00
36.75, 59.00, 59.00, 0.25, 1.00
36.75, 68.00, 64.00, 0.25, 0.00
37.00, 58.00, 58.00, 1.00, 1.00
37.00, 66.00, 63.00, 1.00, 0.00
38.00, 63.00, 61.00, 1.00, 1.00
38.00, 71.00, 66.00, 1.00, 0.00
39.00, 54.00, 56.00, 3.00, 1.00
