ontime, MNN, MPN, duration, channel
0.00, 32.00, 44.00, 1.00, 1.00
1.00, 51.00, 55.00, 1.00, 1.00
1.00, 56.00, 58.00, 1.00, 1.00
1.00, 63.00, 62.00, 1.00, 1.00
1.00, 72.00, 67.00, 1.50, 0.00
2.00, 51.00, 55.00, 1.00, 1.00
2.00, 56.00, 58.00, 1.00, 1.00
2.00, 63.00, 62.00, 1.00, 1.00
2.50, 73.00, 68.00, 0.50, 0.00
3.00, 44.00, 51.00, 1.00, 1.00
3.00, 72.00, 67.00, 0.50, 0.00
3.50, 70.00, 66.00, 0.50, 0.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 1.00, 1.00
4.00, 66.00, 64.00, 1.00, 1.00
4.00, 68.00, 65.00, 1.00, 0.00
5.00, 56.00, 58.00, 1.00, 1.00
5.00, 63.00, 62.00, 1.00, 1.00
5.00, 66.00, 64.00, 1.00, 1.00
5.00, 72.00, 67.00, 1.00, 0.00
6.00, 49.00, 54.00, 1.00, 1.00
6.00, 73.00, 68.00, 1.00, 0.00
7.00, 56.00, 58.00, 1.00, 1.00
7.00, 61.00, 61.00, 1.00, 1.00
7.00, 65.00, 63.00, 1.00, 1.00
7.00, 75.00, 69.00, 1.50, 0.00
8.00, 56.00, 58.00, 1.00, 1.00
8.00, 61.00, 61.00, 1.00, 1.00
8.00, 65.00, 63.00, 1.00, 1.00
8.50, 77.00, 70.00, 0.50, 0.00
9.00, 44.00, 51.00, 1.00, 1.00
9.00, 74.00, 68.00, 0.50, 0.00
9.50, 77.00, 70.00, 0.50, 0.00
10.00, 56.00, 58.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 63.00, 62.00, 1.00, 1.00
10.00, 75.00, 69.00, 1.00, 0.00
11.00, 51.00, 55.00, 1.00, 1.00
11.00, 60.00, 60.00, 1.00, 1.00
11.00, 63.00, 62.00, 1.00, 1.00
11.00, 80.00, 72.00, 1.00, 0.00
12.00, 32.00, 44.00, 1.00, 1.00
13.00, 51.00, 55.00, 1.00, 1.00
13.00, 56.00, 58.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
13.00, 72.00, 67.00, 1.50, 0.00
14.00, 52.00, 55.00, 1.00, 1.00
14.00, 56.00, 58.00, 1.00, 1.00
14.00, 60.00, 60.00, 1.00, 1.00
14.50, 73.00, 68.00, 0.50, 0.00
15.00, 44.00, 51.00, 1.00, 1.00
15.00, 72.00, 67.00, 0.50, 0.00
15.50, 70.00, 66.00, 0.50, 0.00
16.00, 53.00, 56.00, 1.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 68.00, 65.00, 1.00, 0.00
17.00, 53.00, 56.00, 1.00, 1.00
17.00, 56.00, 58.00, 1.00, 1.00
17.00, 63.00, 62.00, 1.00, 1.00
17.00, 72.00, 67.00, 1.00, 0.00
18.00, 46.00, 52.00, 1.00, 1.00
18.00, 65.00, 63.00, 1.00, 0.00
19.00, 56.00, 58.00, 1.00, 1.00
19.00, 62.00, 61.00, 1.00, 1.00
19.00, 67.00, 64.00, 1.50, 0.00
20.00, 56.00, 58.00, 1.00, 1.00
20.00, 62.00, 61.00, 1.00, 1.00
20.50, 68.00, 65.00, 0.50, 0.00
21.00, 39.00, 48.00, 1.00, 1.00
21.00, 69.00, 65.00, 0.50, 0.00
21.50, 72.00, 67.00, 0.50, 0.00
22.00, 51.00, 55.00, 1.00, 1.00
22.00, 56.00, 58.00, 1.00, 1.00
22.00, 61.00, 61.00, 1.00, 1.00
22.00, 70.00, 66.00, 0.50, 0.00
22.50, 75.00, 69.00, 0.50, 0.00
23.00, 51.00, 55.00, 1.00, 1.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 61.00, 61.00, 1.00, 1.00
23.00, 65.00, 63.00, 1.00, 0.00
24.00, 32.00, 44.00, 1.00, 1.00
24.00, 63.00, 62.00, 0.50, 0.00
25.00, 51.00, 55.00, 1.00, 1.00
25.00, 56.00, 58.00, 1.00, 1.00
25.00, 60.00, 60.00, 1.00, 1.00
25.00, 72.00, 67.00, 1.50, 0.00
26.00, 51.00, 55.00, 1.00, 1.00
26.00, 56.00, 58.00, 1.00, 1.00
26.00, 63.00, 62.00, 1.00, 1.00
26.50, 73.00, 68.00, 0.50, 0.00
27.00, 44.00, 51.00, 1.00, 1.00
27.00, 72.00, 67.00, 0.50, 0.00
27.50, 70.00, 66.00, 0.50, 0.00
28.00, 56.00, 58.00, 1.00, 1.00
28.00, 60.00, 60.00, 1.00, 1.00
28.00, 65.00, 63.00, 1.00, 1.00
28.00, 68.00, 65.00, 1.00, 0.00
29.00, 56.00, 58.00, 1.00, 1.00
29.00, 63.00, 62.00, 1.00, 1.00
29.00, 66.00, 64.00, 1.00, 1.00
29.00, 72.00, 67.00, 1.00, 0.00
30.00, 49.00, 54.00, 1.00, 1.00
30.00, 73.00, 68.00, 1.00, 0.00
31.00, 56.00, 58.00, 1.00, 1.00
31.00, 61.00, 61.00, 1.00, 1.00
31.00, 65.00, 63.00, 1.00, 1.00
31.00, 75.00, 69.00, 1.50, 0.00
32.00, 56.00, 58.00, 1.00, 1.00
32.00, 61.00, 61.00, 1.00, 1.00
32.00, 65.00, 63.00, 1.00, 1.00
32.50, 77.00, 70.00, 0.50, 0.00
33.00, 44.00, 51.00, 1.00, 1.00
33.00, 74.00, 68.00, 0.50, 0.00
33.50, 77.00, 70.00, 0.50, 0.00
34.00, 56.00, 58.00, 1.00, 1.00
34.00, 60.00, 60.00, 1.00, 1.00
34.00, 63.00, 62.00, 1.00, 1.00
34.00, 75.00, 69.00, 1.00, 0.00
35.00, 51.00, 55.00, 1.00, 1.00
35.00, 60.00, 60.00, 1.00, 1.00
35.00, 63.00, 62.00, 1.00, 1.00
35.00, 84.00, 74.00, 1.00, 0.00
36.00, 43.00, 50.00, 1.00, 1.00
37.00, 58.00, 59.00, 1.00, 1.00
37.00, 60.00, 60.00, 1.00, 1.00
37.00, 64.00, 62.00, 1.00, 1.00
37.00, 72.00, 67.00, 1.00, 0.00
